"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"44",44,"Petrale Sole",0.483,0.1054,32.1168047472002,0.64,"DDbjuv.b Tpre.a ",0.56662163,0.42637825,NA
"45",45,"Petrale Sole",0.483,0.1283,32.2848170290544,0.72,"MLDegg Tpre.a ",0.50656675,0.63758781,NA
"46",46,"Petrale Sole",0.461,0.0309,33.6418604477369,0.72,"LSTegg1 Tpre.a ",0.46718358,0.42374213,NA
"47",47,"Petrale Sole",0.454,0.0632,32.7948290749458,0.72,"LSTegg2 Tpre.a ",0.41937974,0.39949727,NA
"48",48,"Petrale Sole",0.478,0.1402,32.1094820872922,0.72,"LSTpjuv Tpre.a ",0.37396257,0.34929879,NA
"49",49,"Petrale Sole",0.438,0.0639,32.7754945984707,0.64,"CSTegg1 Tpre.a ",0.5591298,0.44288574,NA
"50",50,"Petrale Sole",0.551,0.0714,33.6261061346088,0.68,"CSTegg2 Tpre.a ",0.54753561,0.44333588,NA
"51",51,"Petrale Sole",0.43,0.0718,32.5647930771907,0.68,"CSTlarv Tpre.a ",0.54753561,0.44333588,NA
"52",52,"Petrale Sole",0.418,0.1499,30.3665781165212,0.72,"CSTpjuv Tpre.a ",0.54753561,0.44333588,NA
"53",53,"Petrale Sole",0.433,0.1691,29.7953114450173,0.72,"CSTbjuv.a Tpre.a ",0.54753561,0.44333588,NA
"54",54,"Petrale Sole",0.45,0.0622,32.8219526639984,0.68,"CSTbjuv.b Tpre.a ",0.54753561,0.44333588,NA
"55",55,"Petrale Sole",0.485,0.2637,28.3574859551306,0.56,"MLDegg Tpre.b ",0.56662163,0.42637825,NA
"56",56,"Petrale Sole",0.47,0.0873,32.1431283132264,0.64,"LSTegg1 Tpre.b ",0.50656675,0.63758781,NA
"57",57,"Petrale Sole",0.466,0.1227,31.518064516013,0.64,"LSTegg2 Tpre.b ",0.46718358,0.42374213,NA
"58",58,"Petrale Sole",0.464,0.3273,26.2599568649211,0.68,"LSTlarv Tpre.b ",0.41937974,0.39949727,NA
"59",59,"Petrale Sole",0.49,0.2637,28.4142051627995,0.6,"LSTpjuv Tpre.b ",0.37396257,0.34929879,NA
"60",60,"Petrale Sole",0.443,0.1356,30.7838467981273,0.6,"LSTbjuv.b Tpre.b ",0.5591298,0.44288574,NA
"61",61,"Petrale Sole",0.445,0.1449,30.5153836316342,0.56,"CSTegg1 Tpre.b ",0.46542383,0.44165921,NA
"62",62,"Petrale Sole",0.555,0.1156,32.0033468611167,0.6,"CSTegg2 Tpre.b ",0.43879142,0.42588293,NA
"63",63,"Petrale Sole",0.447,0.128,31.0030903804683,0.64,"CSTlarv Tpre.b ",0.51887463,0.43713446,NA
"64",64,"Petrale Sole",0.44,0.1894,29.1788227223006,0.68,"CSTpjuv Tpre.b ",0.55260586,0.46390328,NA
"65",65,"Petrale Sole",0.445,0.2334,28.2639854464625,0.72,"CSTbjuv.a Tpre.b ",0.56662163,0.42637825,NA
