"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"389",389,"Sablefish",1.756,0.1059,92.8825881334703,0.375,"CSTbjuv DDlarv Tspawn",NA,NA,4.937
"390",390,"Sablefish",2.133,0.0772,93.6416535928255,0.458333333333333,"DDpjuv MLDegg Tspawn",NA,NA,6.049
"391",391,"Sablefish",2.106,0.0734,93.7398032845761,0.458333333333333,"DDpjuv LSTegg Tspawn",NA,NA,5.995
"392",392,"Sablefish",2.139,0.0842,93.4584478216325,0.416666666666667,"DDpjuv LSTyolk Tspawn",NA,NA,6.061
"393",393,"Sablefish",2.07,0.0968,93.1267563461313,0.375,"DDpjuv LSTlarv Tspawn",NA,NA,5.923
"394",394,"Sablefish",2.117,0.3387,89.1442654503163,0.583333333333333,"DDpjuv LSTpjuv Tspawn",NA,NA,6.017
"395",395,"Sablefish",1.704,0.5331,80.951596379561,0.541666666666667,"DDpjuv LSTbjuv Tspawn",NA,NA,5.191
"396",396,"Sablefish",2.054,0.216,90.8295032606302,0.375,"CSTegg DDpjuv Tspawn",NA,NA,5.595
"397",397,"Sablefish",2.127,0.1638,92.4762617504749,0.541666666666667,"CSTyolk DDpjuv Tspawn",NA,NA,5.588
"398",398,"Sablefish",2.01,0.1262,92.3315530304151,0.458333333333333,"CSTlarv DDpjuv Tspawn",NA,NA,5.232
"399",399,"Sablefish",2.064,0.371,87.9288753426542,0.458333333333333,"CSTpjuv DDpjuv Tspawn",NA,NA,5.585
"400",400,"Sablefish",1.911,0.1713,92.4684976095256,0.5,"DDbjuv MLDegg Tspawn",NA,NA,5.304
"401",401,"Sablefish",1.918,0.1525,92.9410022553282,0.333333333333333,"DDbjuv LSTegg Tspawn",NA,NA,5.318
"402",402,"Sablefish",1.915,0.1666,92.5429526344563,0.333333333333333,"DDbjuv LSTyolk Tspawn",NA,NA,5.312
"403",403,"Sablefish",1.888,0.1839,92.0314524317522,0.375,"DDbjuv LSTlarv Tspawn",NA,NA,5.258
"404",404,"Sablefish",1.956,0.2514,89.8154485348598,0.458333333333333,"DDbjuv LSTpjuv Tspawn",NA,NA,5.394
"405",405,"Sablefish",1.999,0.3794,87.4196889859808,0.666666666666667,"CSTegg DDbjuv Tspawn",NA,NA,5.485
"406",406,"Sablefish",1.825,0.4023,86.7461144961155,0.666666666666667,"CSTyolk DDbjuv Tspawn",NA,NA,4.984
"407",407,"Sablefish",1.878,0.2237,91.1906408267486,0.375,"CSTlarv DDbjuv Tspawn",NA,NA,4.968
"408",408,"Sablefish",1.726,0.3162,87.8490764205663,0.541666666666667,"CSTpjuv DDbjuv Tspawn",NA,NA,4.909
"409",409,"Sablefish",1.662,0.0471,94.4113640611003,0.458333333333333,"LSTyolk MLDegg Tspawn",NA,NA,4.652
"410",410,"Sablefish",1.648,0.0681,93.8761326192988,0.458333333333333,"LSTlarv MLDegg Tspawn",NA,NA,4.632
"411",411,"Sablefish",1.613,0.1729,91.3484971382052,0.541666666666667,"LSTpjuv MLDegg Tspawn",NA,NA,4.421
"412",412,"Sablefish",1.626,0.3662,86.422379883003,0.541666666666667,"LSTbjuv MLDegg Tspawn",NA,NA,4.302
"413",413,"Sablefish",1.47,0.2846,89.0238785514206,0.5,"CSTegg MLDegg Tspawn",NA,NA,4.427
"414",414,"Sablefish",1.586,0.1652,92.6216855365409,0.541666666666667,"CSTyolk MLDegg Tspawn",NA,NA,4.506
"415",415,"Sablefish",1.621,0.0812,93.5361517002102,0.375,"CSTlarv MLDegg Tspawn",NA,NA,4.454
"416",416,"Sablefish",1.596,0.2294,90.1577294302719,0.666666666666667,"CSTpjuv MLDegg Tspawn",NA,NA,4.649
"417",417,"Sablefish",1.7,0.1008,93.0188688262809,0.416666666666667,"CSTbjuv MLDegg Tspawn",NA,NA,4.825
"418",418,"Sablefish",1.636,0.1578,91.6592733440795,0.541666666666667,"LSTegg LSTpjuv Tspawn",NA,NA,4.563
"419",419,"Sablefish",1.608,0.3793,85.9378643316406,0.541666666666667,"LSTbjuv LSTegg Tspawn",NA,NA,4.266
"420",420,"Sablefish",1.62,0.2159,91.0391698635175,0.333333333333333,"CSTegg LSTegg Tspawn",NA,NA,4.727
"421",421,"Sablefish",1.608,0.1639,92.6724614694549,0.5,"CSTyolk LSTegg Tspawn",NA,NA,4.55
"422",422,"Sablefish",1.641,0.0804,93.557714562174,0.416666666666667,"CSTlarv LSTegg Tspawn",NA,NA,4.494
"423",423,"Sablefish",1.626,0.2159,90.471995587182,0.583333333333333,"CSTpjuv LSTegg Tspawn",NA,NA,4.709
"424",424,"Sablefish",1.712,0.0927,93.2337711187947,0.416666666666667,"CSTbjuv LSTegg Tspawn",NA,NA,4.849
"425",425,"Sablefish",1.751,0.1683,91.5703263028627,0.541666666666667,"LSTpjuv LSTyolk Tspawn",NA,NA,4.697
"426",426,"Sablefish",1.609,0.4258,85.2266601186382,0.458333333333333,"LSTbjuv LSTyolk Tspawn",NA,NA,4.268
"427",427,"Sablefish",1.591,0.2253,90.7064333815996,0.375,"CSTegg LSTyolk Tspawn",NA,NA,4.669
"428",428,"Sablefish",1.639,0.1685,92.5008360155776,0.458333333333333,"CSTyolk LSTyolk Tspawn",NA,NA,4.612
"429",429,"Sablefish",1.751,0.085,93.4366477249028,0.333333333333333,"CSTlarv LSTyolk Tspawn",NA,NA,4.714
"430",430,"Sablefish",1.754,0.2536,89.8384341637176,0.541666666666667,"CSTpjuv LSTyolk Tspawn",NA,NA,4.965
"431",431,"Sablefish",1.731,0.0986,93.0782267402667,0.375,"CSTbjuv LSTyolk Tspawn",NA,NA,4.887
"432",432,"Sablefish",1.712,0.1879,91.2520851834932,0.416666666666667,"LSTlarv LSTpjuv Tspawn",NA,NA,4.76
"433",433,"Sablefish",1.682,0.3685,86.3179587577322,0.458333333333333,"LSTbjuv LSTlarv Tspawn",NA,NA,4.414
"434",434,"Sablefish",1.523,0.2808,89.008462452135,0.458333333333333,"CSTegg LSTlarv Tspawn",NA,NA,4.533
"435",435,"Sablefish",1.581,0.1948,91.7479324354087,0.5,"CSTyolk LSTlarv Tspawn",NA,NA,4.496
"436",436,"Sablefish",1.654,0.0923,93.2446911893741,0.375,"CSTlarv LSTlarv Tspawn",NA,NA,4.52
"437",437,"Sablefish",1.649,0.2403,89.8879243377598,0.583333333333333,"CSTpjuv LSTlarv Tspawn",NA,NA,4.755
"438",438,"Sablefish",1.727,0.122,92.4483434304069,0.416666666666667,"CSTbjuv LSTlarv Tspawn",NA,NA,4.879
"439",439,"Sablefish",1.635,0.2629,88.7593981439764,0.583333333333333,"CSTegg LSTpjuv Tspawn",NA,NA,4.757
"440",440,"Sablefish",1.667,0.2834,90.0560940899944,0.541666666666667,"CSTyolk LSTpjuv Tspawn",NA,NA,4.668
"441",441,"Sablefish",1.68,0.1997,90.9838126384201,0.416666666666667,"CSTlarv LSTpjuv Tspawn",NA,NA,4.572
