"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"418",418,"Hake",2.806,0.0847,108.040789286547,0.2,"MLDlarv SSHmsn.pre SSHmss",NA,NA,7.75804144
"419",419,"Hake",2.341,0.1417,107.65606953582,0.32,"PUTlate SSHmsn.pre SSHmss",NA,NA,6.72283663
"420",420,"Hake",2.25,0.1514,107.211010579845,0.24,"SSHjac.pre SSHmsn.pre SSHmss",NA,NA,6.67752783
"421",421,"Hake",2.971,0.1965,105.669035660152,0.4,"MLDpjuv SSHmsn.pre SSHmss",NA,NA,8.48087298
"422",422,"Hake",2.246,0.1774,106.395826963336,0.44,"SSHmsn.pre SSHmss Tpre",NA,NA,6.72319772
"423",423,"Hake",2.246,0.1774,106.395826970244,0.44,"DDpre SSHmsn.pre SSHmss",NA,NA,6.57200486
"424",424,"Hake",2.283,0.2431,105.174253340911,0.2,"MLDlate SSHmsn.pre SSHmss",NA,NA,6.83103168
"425",425,"Hake",2.145,0.0968,107.495172846211,0.36,"LSTegg PUTpjuv SSHmsn.pre",NA,NA,6.34482518
"426",426,"Hake",2.028,0.0793,108.252046975919,0.36,"CSTpjuvs PUTpjuv SSHmsn.pre",NA,NA,6.16678022
"427",427,"Hake",2.105,0.0944,107.470024007698,0.32,"MLDlarv PUTpjuv SSHmsn.pre",NA,NA,6.35604144
"428",428,"Hake",2.126,0.1425,107.268738432599,0.32,"PUTpjuv SSHjac.pre SSHmsn.pre",NA,NA,6.21195918
"429",429,"Hake",2.184,0.1474,106.0263159975,0.4,"MLDpjuv PUTpjuv SSHmsn.pre",NA,NA,6.90687298
"430",430,"Hake",2.071,0.1428,107.239645478225,0.44,"PUTpjuv SSHmsn.pre Tpre",NA,NA,6.10195918
"431",431,"Hake",2.071,0.1428,107.239645482965,0.44,"DDpre PUTpjuv SSHmsn.pre",NA,NA,6.22200486
"432",432,"Hake",1.936,0.1602,105.584608015578,0.32,"MLDlate PUTpjuv SSHmsn.pre",NA,NA,6.13703168
"433",433,"Hake",2.194,0.0815,107.823888394707,0.4,"CSTpjuvs LSTegg SSHmsn.pre",NA,NA,6.49878022
"434",434,"Hake",2.167,0.371,101.955995103705,0.52,"LSTegg MLDlarv SSHmsn.pre",NA,NA,6.38882518
"435",435,"Hake",2.211,0.2024,105.564477325772,0.44,"LSTegg PUTlate SSHmsn.pre",NA,NA,6.47682518
"436",436,"Hake",2.178,0.1141,107.704847133156,0.36,"LSTegg SSHjac.pre SSHmsn.pre",NA,NA,6.41082518
"437",437,"Hake",2.174,0.1378,106.242353265692,0.44,"LSTegg MLDpjuv SSHmsn.pre",NA,NA,6.40282518
"438",438,"Hake",2.17,0.1457,106.950947454772,0.4,"LSTegg SSHmsn.pre Tpre",NA,NA,6.39482518
"439",439,"Hake",2.17,0.1457,106.950947459601,0.4,"DDpre LSTegg SSHmsn.pre",NA,NA,6.42000486
"440",440,"Hake",2.042,0.1913,105.483801061118,0.36,"LSTegg MLDlate SSHmsn.pre",NA,NA,6.13882518
"441",441,"Hake",2.265,0.1409,107.278363952766,0.36,"CSTpjuvs MLDlarv SSHmsn.pre",NA,NA,6.64078022
"442",442,"Hake",2.085,0.1026,108.262683684666,0.28,"CSTpjuvs PUTlate SSHmsn.pre",NA,NA,6.28078022
"443",443,"Hake",2.182,0.1801,107.12973878727,0.36,"CSTpjuvs SSHjac.pre SSHmsn.pre",NA,NA,6.47478022
"444",444,"Hake",2.165,0.1803,106.103462019832,0.48,"CSTpjuvs MLDpjuv SSHmsn.pre",NA,NA,6.44078022
"445",445,"Hake",2.022,0.2544,105.33932028852,0.52,"CSTpjuvs SSHmsn.pre Tpre",NA,NA,6.15478022
"446",446,"Hake",2.022,0.2544,105.339320297271,0.52,"CSTpjuvs DDpre SSHmsn.pre",NA,NA,6.15478022
"447",447,"Hake",1.999,0.228,105.128287640851,0.48,"CSTpjuvs MLDlate SSHmsn.pre",NA,NA,6.10878022
"448",448,"Hake",2.119,0.1272,107.325900089272,0.32,"MLDlarv PUTlate SSHmsn.pre",NA,NA,6.38404144
"449",449,"Hake",2.433,0.1214,107.740522206422,0.16,"MLDlarv SSHjac.pre SSHmsn.pre",NA,NA,7.01204144
