type,year,Y_rec,sd,Tpre,DDpre,Tspawn,DDspawn,DDegg,MLDegg,CSTeggn,CSTeggs,LSTegg,PUTegg,DDyolk,MLDyolk,CSTyolkn,CSTyolks,LSTyolk,PUTyolk,DDlarv,MLDlarv,LSTlarv,DDlate,MLDlate,CSTlaten,CSTlates,LSTlate,PUTlate,DDpjuv,MLDpjuv,CSTpjuvn,CSTpjuvs,LSTpjuv,PUTpjuv,SSHjas,SSHjac,SSHmss,SSHmsc,SSHjas.pre,SSHjac.pre,SSHmsc.pre,SSHmsn.pre
Main_RecrDev,1998,0.8010245,0.23634098,8.121180897,667.9327119,9.137963898,372.4167508,953.2621791,34.12353984,0.044436021,0.027214028,-0.034939316,-0.026460065,1114.167768,30.23971618,0.037204636,0.033162017,-0.034328898,-0.028474822,829.1230461,22.90064273,-0.034572067,705.9355522,15.70182425,0.012555223,0.014714431,-0.013569322,0.013243863,2073.099918,13.13489243,-0.009245434,-0.001044888,-0.023786471,0.038225151,0.16424107,0.134179724,0.134166993,0.07816525,0.071440037,0.059912231,0.113370557,0.128077478
Main_RecrDev,1999,2.68468,0.202953346,8.360545463,719.1567292,8.192577395,287.3319655,718.6206937,24.50490953,0.006984009,0.015734744,-0.004354906,0.001430311,793.7357706,23.24144231,0.005846205,0.010084206,-0.000103233,0.001909386,623.9623944,20.45385149,0.008457849,549.9899256,16.73875098,-0.01087715,-0.012112248,0.017566724,0.027535092,1770.390568,13.69627502,-0.014146871,-0.009210926,-0.018481812,0.038559782,0.042742507,0.016859,0.077258426,0.023036684,0.16424107,0.134179724,0.07816525,0.048748068
Main_RecrDev,2000,-1.05894,0.493807718,7.867654367,613.6780345,8.108151183,282.8417577,735.468644,21.24529605,0.006813358,-0.001599656,-0.001676588,0.012422436,762.4707201,19.22980387,0.004538396,-0.00407838,-0.0007868,0.011202752,599.4429332,15.9694528,0.006730707,532.2297644,14.08417498,-0.010580395,-0.019665771,0.017756953,0.023176336,1919.557545,12.12626756,-0.001461928,0.00803708,-0.031677923,0.033822186,0.06369793,0.049960367,0.098942558,0.041495658,0.042742507,0.016859,0.023036684,0.012927892
Main_RecrDev,2001,0.2921025,0.236061784,7.896427902,619.835571,8.16568017,284.9112153,727.1377561,23.71144098,0.008831168,0.006781769,-0.005114129,0.007493956,763.0394686,22.14183762,0.010159958,0.004599603,-0.00246511,0.007094426,607.6503587,16.72154871,0.00479147,544.1027021,14.12983663,-0.01337962,-0.011304085,0.011682079,0.019779982,1886.449931,12.9178609,-0.011545438,-0.002780503,-0.01734091,0.03108994,0.066361123,0.039053222,0.097721556,0.03137138,0.06369793,0.049960367,0.041495658,0.034788696
Main_RecrDev,2002,-3.109825,0.560401217,7.79441205,598.0041787,8.473241071,312.5916964,698.9768266,23.63973,-0.012189522,0.001252126,0.008399896,0.016619742,750.410175,20.93658646,-0.010448329,0.000409598,0.00957828,0.014995788,627.9389273,17.23996932,0.010708629,575.9134078,14.83069092,-0.013786993,-0.001295751,0.009848096,0.025500696,1791.119692,12.1337909,-0.002474953,0.002211728,-0.025052033,0.039760817,0.067206803,0.036630097,0.08643955,0.034044112,0.066361123,0.039053222,0.03137138,0.014133965
Main_RecrDev,2003,0.572323,0.228231931,7.572301479,550.4725165,8.586772603,322.8095343,766.1905729,22.28295246,0.030644623,0.020424101,-0.023107233,-0.000676652,783.5839148,20.36526882,0.022892528,0.009599284,-0.013992589,0.003005873,639.1701816,18.24473748,-0.005573686,557.5113184,14.75784725,0.006735471,-0.008648433,0.001838078,0.017819871,1860.866737,12.20926443,0.002100676,-0.005382136,-0.024394656,0.046710933,0.091216281,0.068695969,0.102946555,0.052390729,0.067206803,0.036630097,0.034044112,0.008215651
Main_RecrDev,2004,-3.127965,0.615869402,7.80107729,599.4305401,8.47609184,316.3243574,714.252784,21.91372504,0.016915327,0.012502285,-0.019560615,0.000300411,734.5674651,19.8171068,0.011938838,0.005846145,-0.01283892,1.4983685950413e-05,611.2026605,16.68795184,-0.001266324,536.729636,13.64260083,-0.015633812,-0.015634007,0.017851251,0.025608959,1912.513022,12.10051986,-0.011286513,-0.006750823,-0.009824413,0.042958905,0.095845899,0.07622712,0.120465121,0.066520672,0.091216281,0.068695969,0.052390729,0.038826737
Main_RecrDev,2005,1.129935,0.217140944,7.801399872,599.4995726,8.327135072,299.4421565,824.7126137,22.59540669,-0.007397682,0.010662368,-0.002394898,0.010448555,824.2319173,20.99612446,-0.007064915,0.008013542,-0.002033669,0.004499125,645.7937436,17.01610355,0.001271467,576.4364354,14.23338664,-0.014160641,-0.002569053,0.008452025,0.020565282,1877.631945,12.41967932,-0.005781255,0.002712607,-0.026040188,0.044051676,0.131320062,0.106985151,0.09807543,0.053303178,0.095845899,0.07622712,0.066520672,0.067786526
Main_RecrDev,2006,0.83347,0.225543956,8.288648464,703.7707714,8.306707409,297.6036668,690.6170474,22.00636008,0.022731806,0.005541292,-0.005849837,0.013539561,724.1200354,19.52307249,0.012520032,-0.005221692,0.003293334,0.014039366,602.7040909,16.32030407,0.012909131,556.235711,14.0190032,-0.014868542,-0.026109196,0.020102292,0.024184703,1996.498265,12.00108412,-0.029394713,-0.021103997,0.004152565,0.045297367,0.078758308,0.074908611,0.141633613,0.07348774,0.131320062,0.106985151,0.053303178,0.045401827
Main_RecrDev,2007,-3.575215,0.660059307,8.241091361,693.5935513,8.398796769,305.8917092,750.6580985,25.22671687,0.004542442,0.024469557,-0.013941219,-0.003601518,789.2673576,22.97263811,0.004090475,0.019641717,-0.010436088,-0.006382703,632.6412259,17.38755445,-0.010996771,547.5442716,14.27312576,-0.00642985,0.005944706,0.002308024,0.019073689,1816.505092,12.19243341,-0.004145667,-0.005801694,-0.023853168,0.036042932,0.077786719,0.033199208,0.076738437,0.021846322,0.078758308,0.074908611,0.07348774,0.045629102
