"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"225",225,"Petrale Sole",0.519,0.4644,23.1393740646626,0.52,"CSTegg1 DDlarv MLDegg",0.56662163,0.42637825
"226",226,"Petrale Sole",0.489,0.325,28.6110584587957,0.6,"CSTlarv DDlarv MLDegg",0.46718358,0.42374213
"227",227,"Petrale Sole",0.482,0.351,27.5482828742575,0.6,"CSTpjuv DDlarv MLDegg",0.41937974,0.39949727
"228",228,"Petrale Sole",0.354,0.6514,13.1613509348802,0.72,"CSTbjuv.a DDlarv MLDegg",0.37396257,0.34929879
"229",229,"Petrale Sole",0.464,0.3788,26.6154631628612,0.6,"CSTbjuv.b DDlarv MLDegg",0.5591298,0.44288574
"230",230,"Petrale Sole",0.442,0.518,21.7313011569387,0.64,"DDlarv LSTegg2 LSTlarv",0.51309359,0.4282422
"231",231,"Petrale Sole",0.479,0.1591,32.0941748503735,0.64,"DDlarv LSTbjuv.a LSTegg2",0.51309359,0.4282422
"232",232,"Petrale Sole",0.481,0.1614,32.0262965590558,0.64,"DDlarv LSTbjuv.b LSTegg2",0.51309359,0.4282422
"233",233,"Petrale Sole",0.442,0.3178,27.8657589690269,0.56,"CSTegg1 DDlarv LSTegg2",0.56662163,0.42637825
"234",234,"Petrale Sole",0.479,0.2284,31.0085981993867,0.6,"CSTlarv DDlarv LSTegg2",0.46718358,0.42374213
"235",235,"Petrale Sole",0.463,0.3046,28.5067228403648,0.72,"CSTpjuv DDlarv LSTegg2",0.41937974,0.39949727
"236",236,"Petrale Sole",0.424,0.4261,24.2627056199358,0.64,"CSTbjuv.a DDlarv LSTegg2",0.37396257,0.34929879
"237",237,"Petrale Sole",0.458,0.3058,28.3383415858561,0.6,"CSTbjuv.b DDlarv LSTegg2",0.5591298,0.44288574
"238",238,"Petrale Sole",0.456,0.5109,22.036150902367,0.52,"DDlarv LSTbjuv.a LSTlarv",0.51309359,0.4282422
"239",239,"Petrale Sole",0.444,0.5104,22.0302183467795,0.56,"DDlarv LSTbjuv.b LSTlarv",0.51309359,0.4282422
"240",240,"Petrale Sole",0.416,0.5661,19.1670812462576,0.64,"CSTegg1 DDlarv LSTlarv",0.56662163,0.42637825
"241",241,"Petrale Sole",0.482,0.5124,22.016248612469,0.56,"CSTegg2 DDlarv LSTlarv",0.50656675,0.63758781
"242",242,"Petrale Sole",0.446,0.5356,20.8587928199019,0.48,"CSTlarv DDlarv LSTlarv",0.46718358,0.42374213
"243",243,"Petrale Sole",0.461,0.548,20.1650677801824,0.52,"CSTpjuv DDlarv LSTlarv",0.41937974,0.39949727
"244",244,"Petrale Sole",0.371,0.7365,8.17672438030573,0.68,"CSTbjuv.a DDlarv LSTlarv",0.37396257,0.34929879
"245",245,"Petrale Sole",0.403,0.5715,18.8476621343025,0.64,"CSTbjuv.b DDlarv LSTlarv",0.5591298,0.44288574
"246",246,"Petrale Sole",0.454,0.256,30.1049377495314,0.64,"CSTegg1 DDlarv LSTbjuv.a",0.56662163,0.42637825
"247",247,"Petrale Sole",0.556,0.1875,32.2526354250459,0.68,"CSTegg2 DDlarv LSTbjuv.a",0.50656675,0.63758781
"248",248,"Petrale Sole",0.454,0.2113,31.5608398605959,0.64,"CSTlarv DDlarv LSTbjuv.a",0.46718358,0.42374213
"249",249,"Petrale Sole",0.447,0.2803,29.3882328988987,0.64,"CSTpjuv DDlarv LSTbjuv.a",0.41937974,0.39949727
"250",250,"Petrale Sole",0.404,0.4215,24.4282480012608,0.64,"CSTbjuv.a DDlarv LSTbjuv.a",0.37396257,0.34929879
"251",251,"Petrale Sole",0.491,0.2634,30.200195018118,0.64,"CSTbjuv.b DDlarv LSTbjuv.a",0.5591298,0.44288574
"252",252,"Petrale Sole",0.462,0.257,29.9714289148477,0.56,"CSTegg1 DDlarv LSTbjuv.b",0.56662163,0.42637825
"253",253,"Petrale Sole",0.566,0.188,32.1456670289754,0.72,"CSTegg2 DDlarv LSTbjuv.b",0.50656675,0.63758781
"254",254,"Petrale Sole",0.457,0.2189,31.1934098645227,0.6,"CSTlarv DDlarv LSTbjuv.b",0.46718358,0.42374213
"255",255,"Petrale Sole",0.448,0.2905,28.8910336005814,0.64,"CSTpjuv DDlarv LSTbjuv.b",0.41937974,0.39949727
"256",256,"Petrale Sole",0.415,0.4301,24.0275937142671,0.68,"CSTbjuv.a DDlarv LSTbjuv.b",0.37396257,0.34929879
"257",257,"Petrale Sole",0.489,0.2764,29.9841186104796,0.6,"CSTbjuv.b DDlarv LSTbjuv.b",0.5591298,0.44288574
"258",258,"Petrale Sole",0.444,0.3012,28.8554637390595,0.6,"CSTegg1 CSTlarv DDlarv",0.56662163,0.42637825
"259",259,"Petrale Sole",0.434,0.3736,26.2149968792593,0.68,"CSTegg1 CSTpjuv DDlarv",0.56662163,0.42637825
"260",260,"Petrale Sole",0.408,0.4884,21.4330413007203,0.68,"CSTbjuv.a CSTegg1 DDlarv",0.37396257,0.34929879
"261",261,"Petrale Sole",0.451,0.3076,28.5793114413618,0.64,"CSTbjuv.b CSTegg1 DDlarv",0.5591298,0.44288574
"262",262,"Petrale Sole",0.544,0.2326,31.1422308481775,0.6,"CSTegg2 CSTlarv DDlarv",0.50656675,0.63758781
"263",263,"Petrale Sole",0.53,0.291,29.2062828858054,0.64,"CSTegg2 CSTpjuv DDlarv",0.50656675,0.63758781
"264",264,"Petrale Sole",0.429,0.554,18.9303445273926,0.76,"CSTbjuv.a CSTegg2 DDlarv",0.37396257,0.34929879
"265",265,"Petrale Sole",0.548,0.2818,29.7956637827914,0.6,"CSTbjuv.b CSTegg2 DDlarv",0.5591298,0.44288574
"266",266,"Petrale Sole",0.42,0.4369,24.2580447350004,0.68,"CSTbjuv.a CSTlarv DDlarv",0.37396257,0.34929879
"267",267,"Petrale Sole",0.44,0.3868,25.7812443111263,0.64,"CSTbjuv.b CSTlarv DDlarv",0.5591298,0.44288574
"268",268,"Petrale Sole",0.4,0.4511,23.1559437197037,0.72,"CSTbjuv.a CSTpjuv DDlarv",0.37396257,0.34929879
"269",269,"Petrale Sole",0.432,0.4336,23.8057636537283,0.76,"CSTbjuv.b CSTpjuv DDlarv",0.5591298,0.44288574
"270",270,"Petrale Sole",0.422,0.4899,21.3640890252156,0.72,"CSTbjuv.a CSTbjuv.b DDlarv",0.37396257,0.34929879
"271",271,"Petrale Sole",0.486,0.2794,29.3705659869242,0.6,"DDpjuv LSTegg2 MLDegg",0.54753561,0.44333588
"272",272,"Petrale Sole",0.473,0.4921,22.9860414171518,0.6,"DDpjuv LSTlarv MLDegg",0.54753561,0.44333588
"273",273,"Petrale Sole",0.476,0.2789,29.4854989613698,0.52,"DDpjuv LSTbjuv.a MLDegg",0.54753561,0.44333588
"274",274,"Petrale Sole",0.477,0.282,29.3582536201503,0.48,"DDpjuv LSTbjuv.b MLDegg",0.54753561,0.44333588
"275",275,"Petrale Sole",0.515,0.4519,23.1704616170334,0.52,"CSTegg1 DDpjuv MLDegg",0.56662163,0.42637825
"276",276,"Petrale Sole",0.494,0.3032,29.0941771038211,0.6,"CSTlarv DDpjuv MLDegg",0.46718358,0.42374213
"277",277,"Petrale Sole",0.485,0.3274,28.1944969094069,0.64,"CSTpjuv DDpjuv MLDegg",0.41937974,0.39949727
"278",278,"Petrale Sole",0.368,0.6259,14.5052835537458,0.72,"CSTbjuv.a DDpjuv MLDegg",0.37396257,0.34929879
"279",279,"Petrale Sole",0.475,0.356,27.2474193629216,0.56,"CSTbjuv.b DDpjuv MLDegg",0.5591298,0.44288574
"280",280,"Petrale Sole",0.453,0.4915,22.9594956667017,0.6,"DDpjuv LSTegg2 LSTlarv",0.54753561,0.44333588
"281",281,"Petrale Sole",0.488,0.1564,32.553422331351,0.6,"DDpjuv LSTbjuv.a LSTegg2",0.54753561,0.44333588
"282",282,"Petrale Sole",0.489,0.1539,32.4982775904148,0.64,"DDpjuv LSTbjuv.b LSTegg2",0.54753561,0.44333588
"283",283,"Petrale Sole",0.448,0.333,27.5184004230316,0.56,"CSTegg1 DDpjuv LSTegg2",0.56662163,0.42637825
"284",284,"Petrale Sole",0.483,0.2307,31.032954316729,0.6,"CSTlarv DDpjuv LSTegg2",0.46718358,0.42374213
"285",285,"Petrale Sole",0.465,0.2994,28.7090321442098,0.72,"CSTpjuv DDpjuv LSTegg2",0.41937974,0.39949727
"286",286,"Petrale Sole",0.42,0.4532,23.1094332841703,0.76,"CSTbjuv.a DDpjuv LSTegg2",0.37396257,0.34929879
"287",287,"Petrale Sole",0.466,0.3024,28.5861077861355,0.64,"CSTbjuv.b DDpjuv LSTegg2",0.5591298,0.44288574
"288",288,"Petrale Sole",0.466,0.4823,23.3537998978298,0.52,"DDpjuv LSTbjuv.a LSTlarv",0.54753561,0.44333588
"289",289,"Petrale Sole",0.452,0.4818,23.3338598510188,0.56,"DDpjuv LSTbjuv.b LSTlarv",0.54753561,0.44333588
"290",290,"Petrale Sole",0.423,0.5511,19.9560987899517,0.64,"CSTegg1 DDpjuv LSTlarv",0.56662163,0.42637825
"291",291,"Petrale Sole",0.501,0.4835,23.3474517530878,0.52,"CSTegg2 DDpjuv LSTlarv",0.50656675,0.63758781
"292",292,"Petrale Sole",0.454,0.5074,22.2381966897165,0.48,"CSTlarv DDpjuv LSTlarv",0.46718358,0.42374213
"293",293,"Petrale Sole",0.466,0.5166,21.735389637975,0.52,"CSTpjuv DDpjuv LSTlarv",0.41937974,0.39949727
"294",294,"Petrale Sole",0.369,0.7213,9.52967045808522,0.72,"CSTbjuv.a DDpjuv LSTlarv",0.37396257,0.34929879
"295",295,"Petrale Sole",0.418,0.5421,20.4213726094197,0.64,"CSTbjuv.b DDpjuv LSTlarv",0.5591298,0.44288574
"296",296,"Petrale Sole",0.463,0.2652,30.0186363564977,0.64,"CSTegg1 DDpjuv LSTbjuv.a",0.56662163,0.42637825
"297",297,"Petrale Sole",0.566,0.1823,32.5789159776929,0.68,"CSTegg2 DDpjuv LSTbjuv.a",0.50656675,0.63758781
"298",298,"Petrale Sole",0.461,0.2124,31.6862595489322,0.6,"CSTlarv DDpjuv LSTbjuv.a",0.46718358,0.42374213
"299",299,"Petrale Sole",0.453,0.2734,29.6994254501552,0.68,"CSTpjuv DDpjuv LSTbjuv.a",0.41937974,0.39949727
"300",300,"Petrale Sole",0.403,0.4466,23.3923028822427,0.68,"CSTbjuv.a DDpjuv LSTbjuv.a",0.37396257,0.34929879
"301",301,"Petrale Sole",0.501,0.251,30.5488527510737,0.6,"CSTbjuv.b DDpjuv LSTbjuv.a",0.5591298,0.44288574
"302",302,"Petrale Sole",0.467,0.2667,29.9099129475839,0.6,"CSTegg1 DDpjuv LSTbjuv.b",0.56662163,0.42637825
"303",303,"Petrale Sole",0.575,0.1859,32.4619012377766,0.64,"CSTegg2 DDpjuv LSTbjuv.b",0.50656675,0.63758781
"304",304,"Petrale Sole",0.464,0.2212,31.3266320306116,0.56,"CSTlarv DDpjuv LSTbjuv.b",0.46718358,0.42374213
"305",305,"Petrale Sole",0.453,0.2845,29.2127190737299,0.68,"CSTpjuv DDpjuv LSTbjuv.b",0.41937974,0.39949727
"306",306,"Petrale Sole",0.409,0.4563,22.9403565529195,0.72,"CSTbjuv.a DDpjuv LSTbjuv.b",0.37396257,0.34929879
"307",307,"Petrale Sole",0.5,0.2645,30.3837254204967,0.56,"CSTbjuv.b DDpjuv LSTbjuv.b",0.5591298,0.44288574
"308",308,"Petrale Sole",0.447,0.3126,28.54928476313,0.68,"CSTegg1 CSTlarv DDpjuv",0.56662163,0.42637825
"309",309,"Petrale Sole",0.436,0.3773,26.1241995696572,0.68,"CSTegg1 CSTpjuv DDpjuv",0.56662163,0.42637825
"310",310,"Petrale Sole",0.413,0.526,19.6539431054549,0.68,"CSTbjuv.a CSTegg1 DDpjuv",0.37396257,0.34929879
"311",311,"Petrale Sole",0.458,0.3123,28.5190671581815,0.64,"CSTbjuv.b CSTegg1 DDpjuv",0.5591298,0.44288574
"312",312,"Petrale Sole",0.55,0.2301,31.2785729762708,0.6,"CSTegg2 CSTlarv DDpjuv",0.50656675,0.63758781
"313",313,"Petrale Sole",0.535,0.2813,29.5543836174562,0.68,"CSTegg2 CSTpjuv DDpjuv",0.50656675,0.63758781
