"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"108",108,"Sablefish",1.668,0.191,93.6241290759564,0.44,"LSTlarv LSTpjuv Tspawn",1.32763276,1.17233443
"109",109,"Sablefish",1.642,0.368,88.4778321306682,0.48,"LSTbjuv LSTlarv Tspawn",1.04552781,1.16362404
"110",110,"Sablefish",1.484,0.2777,91.3780528941643,0.44,"CSTegg LSTlarv Tspawn",1.44196766,1.32561473
"111",111,"Sablefish",1.54,0.1973,94.071520145271,0.52,"CSTyolk LSTlarv Tspawn",1.30898311,1.51727085
"112",112,"Sablefish",1.591,0.2674,90.9936093506855,0.64,"CSTegg LSTpjuv Tspawn",1.44196766,1.32561473
"113",113,"Sablefish",1.62,0.2882,92.2631768366542,0.6,"CSTyolk LSTpjuv Tspawn",1.30898311,1.51727085
"114",114,"Sablefish",1.284,0.5866,79.7300543174893,0.48,"CSTegg LSTbjuv Tspawn",1.44196766,1.32561473
"115",115,"Sablefish",1.487,0.4876,84.8084214741023,0.52,"CSTyolk LSTbjuv Tspawn",1.30898311,1.51727085
"116",116,"Sablefish",1.661,0.0416,97.0960702076504,0.36,"DDlarv LSTlarv MLDegg",1.57327189,1.35891122
"117",117,"Sablefish",1.615,0.1051,95.3815106347212,0.52,"DDlarv LSTpjuv MLDegg",1.57327189,1.35891122
"118",118,"Sablefish",1.567,0.303,90.8996675493703,0.56,"DDlarv LSTbjuv MLDegg",1.57327189,1.35891122
"119",119,"Sablefish",1.495,0.2466,92.5591190910081,0.36,"CSTegg DDlarv MLDegg",1.44196766,1.32561473
"120",120,"Sablefish",1.616,0.1929,95.2045561019185,0.32,"CSTyolk DDlarv MLDegg",1.30898311,1.51727085
"121",121,"Sablefish",1.602,0.1087,95.2805723429896,0.48,"DDlarv LSTegg LSTpjuv",1.57327189,1.35891122
"122",122,"Sablefish",1.564,0.308,90.723618851827,0.56,"DDlarv LSTbjuv LSTegg",1.57327189,1.35891122
"123",123,"Sablefish",1.571,0.1953,94.0300071676276,0.36,"CSTegg DDlarv LSTegg",1.44196766,1.32561473
"124",124,"Sablefish",1.637,0.1756,95.4372481803941,0.32,"CSTyolk DDlarv LSTegg",1.30898311,1.51727085
"125",125,"Sablefish",1.665,0.1261,95.2116694899176,0.4,"DDlarv LSTlarv LSTpjuv",1.57327189,1.35891122
"126",126,"Sablefish",1.581,0.311,90.5963207367411,0.48,"DDlarv LSTbjuv LSTlarv",1.57327189,1.35891122
"127",127,"Sablefish",1.508,0.2525,92.24892452516,0.4,"CSTegg DDlarv LSTlarv",1.44196766,1.32561473
"128",128,"Sablefish",1.572,0.1702,94.9028385394556,0.52,"CSTyolk DDlarv LSTlarv",1.30898311,1.51727085
"129",129,"Sablefish",1.587,0.2462,91.8507536765789,0.48,"CSTegg DDlarv LSTpjuv",1.44196766,1.32561473
"130",130,"Sablefish",1.661,0.2428,93.6929541323284,0.4,"CSTyolk DDlarv LSTpjuv",1.30898311,1.51727085
"131",131,"Sablefish",1.258,0.5402,82.3840160711305,0.6,"CSTegg DDlarv LSTbjuv",1.44196766,1.32561473
"132",132,"Sablefish",1.412,0.466,86.6470611353577,0.6,"CSTyolk DDlarv LSTbjuv",1.30898311,1.51727085
"133",133,"Sablefish",1.694,0.0733,96.2543749421228,0.36,"DDpjuv LSTlarv MLDegg",1.74392565,1.43421252
"134",134,"Sablefish",1.741,0.1015,95.4828431828071,0.48,"DDpjuv LSTpjuv MLDegg",1.74392565,1.43421252
"135",135,"Sablefish",1.552,0.3815,89.3938338696646,0.56,"DDpjuv LSTbjuv MLDegg",1.74392565,1.43421252
"136",136,"Sablefish",1.621,0.2571,92.3050232481481,0.32,"CSTegg DDpjuv MLDegg",1.44196766,1.32561473
"137",137,"Sablefish",1.701,0.143,95.5285962773443,0.28,"CSTyolk DDpjuv MLDegg",1.30898311,1.51727085
"138",138,"Sablefish",1.747,0.0965,95.6227344636181,0.32,"DDpjuv LSTegg LSTpjuv",1.74392565,1.43421252
"139",139,"Sablefish",1.531,0.3941,88.9473565904514,0.56,"DDpjuv LSTbjuv LSTegg",1.74392565,1.43421252
"140",140,"Sablefish",1.645,0.191,94.0136255987572,0.28,"CSTegg DDpjuv LSTegg",1.44196766,1.32561473
"141",141,"Sablefish",1.73,0.1435,95.5339151412974,0.36,"CSTyolk DDpjuv LSTegg",1.30898311,1.51727085
"142",142,"Sablefish",1.826,0.1234,95.2372833263471,0.36,"DDpjuv LSTlarv LSTpjuv",1.74392565,1.43421252
"143",143,"Sablefish",1.605,0.3807,89.3729357841591,0.52,"DDpjuv LSTbjuv LSTlarv",1.74392565,1.43421252
"144",144,"Sablefish",1.58,0.2566,92.1131450152406,0.36,"CSTegg DDpjuv LSTlarv",1.44196766,1.32561473
"145",145,"Sablefish",1.681,0.1706,94.7552453989898,0.44,"CSTyolk DDpjuv LSTlarv",1.30898311,1.51727085
"146",146,"Sablefish",1.744,0.2158,92.86857718877,0.36,"CSTegg DDpjuv LSTpjuv",1.44196766,1.32561473
"147",147,"Sablefish",1.825,0.3345,92.6361400701134,0.28,"CSTyolk DDpjuv LSTpjuv",1.30898311,1.51727085
"148",148,"Sablefish",1.283,0.5799,80.2142160562543,0.56,"CSTegg DDpjuv LSTbjuv",1.44196766,1.32561473
"149",149,"Sablefish",1.356,0.5354,83.80718374591,0.48,"CSTyolk DDpjuv LSTbjuv",1.30898311,1.51727085
"150",150,"Sablefish",1.673,0.1293,95.3458020421995,0.48,"LSTlarv LSTpjuv MLDegg",1.32763276,1.17233443
