"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"203",203,"Yellowtail",0.46,0.2692,28.4058091507365,0.52,"BeutiTUMIpjuv DDegg oni_pre",0.32689956,0.35282624
"204",204,"Yellowtail",0.431,0.3535,25.9739219717652,0.52,"DDegg oni_larv oni_pjuv",0.4425048,0.39573152
"205",205,"Yellowtail",0.442,0.4414,24.0252470961543,0.52,"CutiSTIpjuv DDegg oni_larv",0.38439525,0.41864256
"206",206,"Yellowtail",0.42,0.3967,24.3874578836765,0.52,"BeutiTUMIpjuv DDegg oni_larv",0.32689956,0.35282624
"207",207,"Yellowtail",0.379,0.4622,22.4069189650358,0.6,"CutiSTIpjuv DDegg oni_pjuv",0.38439525,0.41864256
"208",208,"Yellowtail",0.464,0.328,26.9154530470214,0.4,"BeutiTUMIpjuv DDegg oni_pjuv",0.32689956,0.35282624
"209",209,"Yellowtail",0.437,0.2823,28.6591678582043,0.44,"CutiSTIpjuv DDegg pdo_pjuv",0.38439525,0.41864256
"210",210,"Yellowtail",0.436,0.2074,29.2822610295621,0.56,"DDben DDlarv MLDlarv",0.3427491,0.348285
"211",211,"Yellowtail",0.463,0.0431,33.4303996056334,0.4,"DDben DDlarv MLDpjuv",0.3427491,0.348285
"212",212,"Yellowtail",0.495,0.0263,33.865521738091,0.24,"CSTlarv DDben DDlarv",0.32613274,0.34545079
"213",213,"Yellowtail",0.465,0.0355,33.6277545967956,0.32,"DDben DDlarv LSTpjuv",0.3427491,0.348285
"214",214,"Yellowtail",0.47,0.2145,30.3960633758828,0.52,"CutiSTIpjuv DDben DDlarv",0.38439525,0.41864256
"215",215,"Yellowtail",0.517,0.0261,34.1632737689016,0.28,"BeutiTUMIpjuv DDben DDlarv",0.32689956,0.35282624
"216",216,"Yellowtail",0.416,0.2594,27.3162551618455,0.6,"DDlarv MLDlarv MLDpjuv",0.36540301,0.35664947
"217",217,"Yellowtail",0.43,0.2032,28.8539761168555,0.48,"CSTlarv DDlarv MLDlarv",0.32613274,0.34545079
"218",218,"Yellowtail",0.419,0.2213,28.3371010077006,0.6,"DDlarv LSTpjuv MLDlarv",0.36540301,0.35664947
"219",219,"Yellowtail",0.424,0.2187,28.3623519840948,0.52,"DDlarv MLDlarv oni_pjuv",0.36540301,0.35664947
"220",220,"Yellowtail",0.424,0.2508,28.1084844464086,0.48,"CutiSTIpjuv DDlarv MLDlarv",0.38439525,0.41864256
"221",221,"Yellowtail",0.453,0.2553,28.2376623211032,0.4,"BeutiTUMIpjuv DDlarv MLDlarv",0.32689956,0.35282624
"222",222,"Yellowtail",0.51,0.0512,33.381127765394,0.24,"CSTlarv DDlarv MLDpjuv",0.32613274,0.34545079
"223",223,"Yellowtail",0.467,0.0404,33.4998297417668,0.36,"DDlarv LSTpjuv MLDpjuv",0.36540301,0.35664947
"224",224,"Yellowtail",0.412,0.2719,26.5979513377266,0.52,"DDlarv MLDpjuv oni_pjuv",0.36540301,0.35664947
"225",225,"Yellowtail",0.45,0.1905,30.625237672384,0.44,"CutiSTIpjuv DDlarv MLDpjuv",0.38439525,0.41864256
"226",226,"Yellowtail",0.525,0.0321,33.715276881323,0.36,"BeutiTUMIpjuv DDlarv MLDpjuv",0.32689956,0.35282624
"227",227,"Yellowtail",0.486,0.0443,33.3980304238471,0.32,"CSTlarv DDlarv LSTpjuv",0.32613274,0.34545079
"228",228,"Yellowtail",0.448,0.1735,29.76634520332,0.48,"CSTlarv DDlarv oni_pjuv",0.32613274,0.34545079
"229",229,"Yellowtail",0.474,0.3166,28.2703922823401,0.36,"CSTlarv CutiSTIpjuv DDlarv",0.32613274,0.34545079
"230",230,"Yellowtail",0.591,0.0275,33.8350044538834,0.16,"BeutiTUMIpjuv CSTlarv DDlarv",0.32689956,0.35282624
"231",231,"Yellowtail",0.395,0.3049,26.187010358118,0.6,"DDlarv LSTpjuv oni_pjuv",0.36540301,0.35664947
"232",232,"Yellowtail",0.423,0.2727,28.1915025420561,0.52,"CutiSTIpjuv DDlarv LSTpjuv",0.38439525,0.41864256
"233",233,"Yellowtail",0.539,0.0256,33.9557808167458,0.32,"BeutiTUMIpjuv DDlarv LSTpjuv",0.32689956,0.35282624
"234",234,"Yellowtail",0.422,0.3038,26.8150822448904,0.56,"CutiSTIpjuv DDlarv oni_pjuv",0.38439525,0.41864256
"235",235,"Yellowtail",0.455,0.2686,28.0593714414967,0.48,"BeutiTUMIpjuv DDlarv oni_pjuv",0.32689956,0.35282624
"236",236,"Yellowtail",0.434,0.2977,26.763803119268,0.44,"DDpjuv MLDpart MLDpjuv",0.33288319,0.35582827
"237",237,"Yellowtail",0.47,0.1782,29.6241274711737,0.48,"CSTlarv DDpjuv MLDpart",0.32613274,0.34545079
"238",238,"Yellowtail",0.47,0.2218,28.2627731839987,0.56,"DDpjuv LSTpjuv MLDpart",0.33288319,0.35582827
"239",239,"Yellowtail",0.478,0.2053,28.7861758172721,0.44,"DDpjuv MLDpart oni_pjuv",0.33288319,0.35582827
"240",240,"Yellowtail",0.43,0.297,26.5830362652417,0.52,"DDpjuv MLDlarv MLDpjuv",0.33288319,0.35582827
"241",241,"Yellowtail",0.474,0.2027,28.8677377825686,0.44,"CSTlarv DDpjuv MLDlarv",0.32613274,0.34545079
"242",242,"Yellowtail",0.447,0.244,27.5398462736602,0.64,"DDpjuv LSTpjuv MLDlarv",0.33288319,0.35582827
"243",243,"Yellowtail",0.46,0.2171,28.412885929586,0.48,"DDpjuv MLDlarv oni_pjuv",0.33288319,0.35582827
"244",244,"Yellowtail",0.522,0.0565,33.4455782555003,0.16,"CSTlarv DDpjuv MLDpjuv",0.32613274,0.34545079
"245",245,"Yellowtail",0.485,0.053,33.1697963719547,0.36,"DDpjuv LSTpjuv MLDpjuv",0.33288319,0.35582827
"246",246,"Yellowtail",0.435,0.2628,26.9089494655626,0.52,"DDpjuv MLDpjuv oni_pjuv",0.33288319,0.35582827
"247",247,"Yellowtail",0.493,0.0429,33.4349907905076,0.28,"CSTlarv DDpjuv LSTpjuv",0.32613274,0.34545079
"248",248,"Yellowtail",0.476,0.1709,29.8457202063586,0.44,"CSTlarv DDpjuv oni_pjuv",0.32613274,0.34545079
"249",249,"Yellowtail",0.406,0.2906,26.6726632422274,0.6,"DDpjuv LSTpjuv oni_pjuv",0.33288319,0.35582827
"250",250,"Yellowtail",0.463,0.0881,32.2317810648014,0.48,"DDben MLDpjuv Tcop",0.3427491,0.348285
"251",251,"Yellowtail",0.474,0.0852,32.305821792019,0.4,"CSTlarv DDben Tcop",0.32613274,0.34545079
"252",252,"Yellowtail",0.457,0.07,32.7640864636507,0.44,"DDben LSTpjuv Tcop",0.3427491,0.348285
"253",253,"Yellowtail",0.456,0.1883,30.7973586531278,0.52,"DDben oni_pre Tcop",0.3427491,0.348285
"254",254,"Yellowtail",0.451,0.283,28.8781808130694,0.44,"CutiSTIpjuv DDben Tcop",0.38439525,0.41864256
"255",255,"Yellowtail",0.522,0.0649,33.3999713330763,0.24,"BeutiTUMIpjuv DDben Tcop",0.32689956,0.35282624
"256",256,"Yellowtail",0.454,0.2114,28.9363182309815,0.6,"DDben MLDlarv Tpart",0.3427491,0.348285
"257",257,"Yellowtail",0.464,0.0379,33.5649829812195,0.36,"DDben MLDpjuv Tpart",0.3427491,0.348285
"258",258,"Yellowtail",0.498,0.0186,34.0616591134276,0.24,"CSTlarv DDben Tpart",0.32613274,0.34545079
"259",259,"Yellowtail",0.464,0.0328,33.6975413202373,0.32,"DDben LSTpjuv Tpart",0.3427491,0.348285
"260",260,"Yellowtail",0.463,0.1959,30.5510588968343,0.48,"CutiSTIpjuv DDben Tpart",0.38439525,0.41864256
"261",261,"Yellowtail",0.523,0.0223,34.1337847043219,0.28,"BeutiTUMIpjuv DDben Tpart",0.32689956,0.35282624
"262",262,"Yellowtail",0.512,0.1996,29.3236070540499,0.48,"DDben MLDpart MLDpjuv",0.3427491,0.348285
"263",263,"Yellowtail",0.485,0.1612,30.1374241351187,0.48,"CSTlarv DDben MLDpart",0.32613274,0.34545079
"264",264,"Yellowtail",0.445,0.1678,30.4558332242589,0.36,"DDben LSTpjuv MLDpart",0.3427491,0.348285
"265",265,"Yellowtail",0.43,0.2084,29.3125352623849,0.4,"DDben MLDpart oni_pre",0.3427491,0.348285
"266",266,"Yellowtail",0.423,0.3003,26.925820552697,0.52,"DDben MLDpart oni_larv",0.3427491,0.348285
"267",267,"Yellowtail",0.434,0.1734,30.3259482276306,0.36,"DDben MLDpart pdo_larv",0.3427491,0.348285
"268",268,"Yellowtail",0.454,0.2795,28.3047405049901,0.44,"CutiSTIpjuv DDben MLDpart",0.38439525,0.41864256
"269",269,"Yellowtail",0.606,0.1617,31.0435081311665,0.4,"BeutiTUMIpjuv DDben MLDpart",0.32689956,0.35282624
"270",270,"Yellowtail",0.424,0.2551,27.788928777567,0.6,"DDben MLDlarv MLDpjuv",0.3427491,0.348285
"271",271,"Yellowtail",0.456,0.205,29.024098220322,0.4,"CSTlarv DDben MLDlarv",0.32613274,0.34545079
"272",272,"Yellowtail",0.421,0.231,28.7340869808951,0.36,"DDben LSTpjuv MLDlarv",0.3427491,0.348285
"273",273,"Yellowtail",0.431,0.2171,28.8775081509646,0.48,"DDben MLDlarv oni_pre",0.3427491,0.348285
"274",274,"Yellowtail",0.442,0.2855,27.2853947817264,0.44,"DDben MLDlarv oni_larv",0.3427491,0.348285
"275",275,"Yellowtail",0.445,0.2125,29.3830863764015,0.52,"DDben MLDlarv pdo_larv",0.3427491,0.348285
"276",276,"Yellowtail",0.437,0.3052,27.206807736482,0.4,"CutiSTIpjuv DDben MLDlarv",0.38439525,0.41864256
"277",277,"Yellowtail",0.489,0.2451,29.0749622475342,0.44,"BeutiTUMIpjuv DDben MLDlarv",0.32689956,0.35282624
"278",278,"Yellowtail",0.505,0.048,33.4310263846275,0.2,"CSTlarv DDben MLDpjuv",0.32613274,0.34545079
"279",279,"Yellowtail",0.469,0.0619,32.9326292886007,0.32,"DDben LSTpjuv MLDpjuv",0.3427491,0.348285
"280",280,"Yellowtail",0.459,0.2202,29.9054875784937,0.56,"DDben MLDpjuv oni_pre",0.3427491,0.348285
"281",281,"Yellowtail",0.45,0.3241,27.1071668217149,0.52,"DDben MLDpjuv oni_larv",0.3427491,0.348285
