"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"54",54,"Yellowtail",0.433,0.16,29.0679098184838,0.48,"DDben MLDpart ",0.3427491,0.348285
"55",55,"Yellowtail",0.406,0.2129,27.6141285052956,0.56,"DDben MLDlarv ",0.3427491,0.348285
"56",56,"Yellowtail",0.436,0.037,31.5875321693492,0.44,"DDben MLDpjuv ",0.3427491,0.348285
"57",57,"Yellowtail",0.475,0.016,32.1284759322375,0.24,"CSTlarv DDben ",0.32613274,0.34545079
"58",58,"Yellowtail",0.444,0.2049,29.2399582002465,0.48,"DDben LSTlarv ",0.3427491,0.348285
"59",59,"Yellowtail",0.432,0.191,28.842875119399,0.56,"DDben oni_pre ",0.3427491,0.348285
"60",60,"Yellowtail",0.447,0.1954,28.5996413896314,0.6,"CutiSTIpjuv DDben ",0.38439525,0.41864256
"61",61,"Yellowtail",0.454,0.0259,31.8761853244996,0.28,"BeutiSTIpjuv DDben ",0.33529647,0.43819983
"62",62,"Yellowtail",0.439,0.0545,31.1300038893881,0.52,"MLDpjuv Tcop ",0.31581294,0.37713642
"63",63,"Yellowtail",0.446,0.0241,31.9209424935287,0.36,"CSTpjuv Tcop ",0.60478619,0.48205788
"64",64,"Yellowtail",0.436,0.0343,31.6595113364871,0.4,"LSTpjuv Tcop ",0.32296771,0.35184824
"65",65,"Yellowtail",0.41,0.1802,27.5626325598143,0.56,"oni_pjuv Tcop ",0.29238282,0.31137896
"66",66,"Yellowtail",0.418,0.0955,30.022417863477,0.44,"pdo_pjuv Tcop ",0.32609946,0.38257377
"67",67,"Yellowtail",0.43,0.2004,28.331217754873,0.48,"CutiSTIpjuv Tcop ",0.38439525,0.41864256
"68",68,"Yellowtail",0.456,0.019,32.0506478235276,0.28,"CutiTUMIpjuv Tcop ",0.33392972,0.34599654
"69",69,"Yellowtail",0.507,0.0451,31.8325298446784,0.28,"BeutiTUMIpjuv Tcop ",0.32689956,0.35282624
"70",70,"Yellowtail",0.441,0.0537,31.152469348069,0.4,"BeutiSTIpjuv Tcop ",0.33529647,0.43819983
"71",71,"Yellowtail",0.453,0.0294,31.7846380521037,0.4,"MLDpjuv Tpart ",0.31581294,0.37713642
"72",72,"Yellowtail",0.455,0.0102,32.2759411766659,0.4,"CSTpjuv Tpart ",0.60478619,0.48205788
"73",73,"Yellowtail",0.449,0.0202,32.0223688918517,0.4,"LSTpjuv Tpart ",0.32296771,0.35184824
"74",74,"Yellowtail",0.42,0.1515,28.4229353870543,0.48,"oni_pjuv Tpart ",0.29238282,0.31137896
"75",75,"Yellowtail",0.468,4e-04,32.5224025324559,0.16,"CutiTUMIpjuv Tpart ",0.33392972,0.34599654
"76",76,"Yellowtail",0.441,0.1785,27.6159129837711,0.6,"MLDpart MLDpjuv ",0.34957123,0.32373825
"77",77,"Yellowtail",0.437,0.1606,28.1551912021546,0.48,"CSTlarv MLDpart ",0.32613274,0.34545079
"78",78,"Yellowtail",0.421,0.1245,29.2072715429748,0.6,"CSTpjuv MLDpart ",0.60478619,0.48205788
"79",79,"Yellowtail",0.411,0.1354,28.8937106803409,0.48,"LSTpjuv MLDpart ",0.32296771,0.35184824
"80",80,"Yellowtail",0.404,0.2046,26.8071914984779,0.56,"MLDpart oni_pjuv ",0.34957123,0.32373825
"81",81,"Yellowtail",0.408,0.1637,28.062615135451,0.6,"MLDpart pdo_pjuv ",0.34957123,0.32373825
