"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"50",50,"Hake",2.085,0.0769,105.949858505463,0.44,"SSHmsc SSHmsn.pre ",2.41049955,2.50303768
"51",51,"Hake",1.944,0.0535,106.573932335487,0.52,"CSTlaten SSHmsn.pre ",2.37836969,2.42412629
"52",52,"Hake",2.138,0.0823,106.330178051354,0.32,"SSHmsn.pre SSHmss ",2.21554483,2.24825558
"53",53,"Hake",1.936,0.0647,106.372105045791,0.4,"PUTpjuv SSHmsn.pre ",2.38789839,2.29339025
"54",54,"Hake",1.998,0.0808,106.595638276923,0.36,"CSTpjuvs SSHmsn.pre ",2.44806761,2.40027895
"55",55,"Hake",1.931,0.1426,104.601962176637,0.28,"MLDlate SSHmsn.pre ",2.42866936,2.36195376
"56",56,"Hake",2.138,0.0993,106.175168994395,0.4,"PUTpjuv SSHmsc ",2.33149595,2.10748263
"57",57,"Hake",2.105,0.082,106.206588341675,0.4,"DDyolk SSHmsc ",2.03739886,2.1713158
"58",58,"Hake",2.472,0.035,107.059499924785,0.36,"LSTegg SSHmsc ",2.70528211,2.44437765
"59",59,"Hake",2.449,0.0672,106.20956832703,0.32,"MLDlarv SSHmsc ",2.44467533,2.4143266
"60",60,"Hake",2.257,0.0701,106.857846091515,0.32,"SSHmsc Tspawn ",2.39355355,2.33543865
"61",61,"Hake",2.235,0.0783,106.743093773547,0.32,"DDspawn SSHmsc ",2.38386666,2.32867569
"62",62,"Hake",2.217,0.102,106.286410461436,0.4,"SSHjac.pre SSHmsc ",2.41810869,2.42751469
"63",63,"Hake",2.344,0.1923,103.801581418636,0.44,"MLDpjuv SSHmsc ",2.41049955,2.50303768
"64",64,"Hake",2.134,0.1347,105.67314561786,0.24,"SSHmsc Tpre ",2.37836969,2.42412629
"65",65,"Hake",2.134,0.1347,105.673145626041,0.24,"DDpre SSHmsc ",2.42866936,2.36195376
"66",66,"Hake",2.16,0.2112,104.020306844017,0.24,"MLDlate SSHmsc ",2.71902834,2.45150573
"67",67,"Hake",2.268,0.119,106.020401382226,0.44,"CSTeggs SSHmsc ",2.33149595,2.10748263
"68",68,"Hake",1.886,0.0629,106.326714312795,0.44,"CSTlaten PUTpjuv ",2.38386666,2.32867569
