"","x"
"1","MLDyolk"
"2","DDlarv"
"3","SSHjas.pre"
"4","SSHmsn.pre"
"5","SSHmsc"
"6","CSTlaten"
"7","SSHmss"
"8","PUTpjuv"
"9","DDyolk"
"10","LSTegg"
"11","CSTpjuvs"
"12","MLDlarv"
"13","Tspawn"
"14","DDspawn"
"15","PUTlate"
"16","SSHjac.pre"
"17","MLDpjuv"
"18","Tpre"
"19","DDpre"
"20","MLDlate"
"21","CSTeggs"
