"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"53",53,"Petrale Sole",0.552,0.093,22.3462234120979,0.764705882352941,"CSTbjuv.b Tpre.a ",0.384,0.482
"54",54,"Petrale Sole",0.489,0.3095,19.3428539737365,0.764705882352941,"MLDegg Tpre.b ",0.355,0.485
"55",55,"Petrale Sole",0.431,0.2986,19.4850377106786,0.823529411764706,"LSTegg1 Tpre.b ",0.322,0.474
"56",56,"Petrale Sole",0.468,0.0972,22.4690138386731,0.823529411764706,"LSTegg2 Tpre.b ",0.252,0.399
"57",57,"Petrale Sole",0.536,0.1971,21.6834332333999,0.764705882352941,"LSTlarv Tpre.b ",0.362,0.409
"58",58,"Petrale Sole",0.585,0.0817,23.3871400955309,0.823529411764706,"LSTpjuv Tpre.b ",0.391,0.439
"59",59,"Petrale Sole",0.466,0.1251,21.7343407498139,0.764705882352941,"LSTbjuv.b Tpre.b ",0.354,0.452
"60",60,"Petrale Sole",0.487,0.0751,22.6781294778933,0.823529411764706,"CSTegg1 Tpre.b ",0.387,0.498
"61",61,"Petrale Sole",0.332,0.5459,12.4512067985239,0.823529411764706,"CSTegg2 Tpre.b ",0.297,0.416
"62",62,"Petrale Sole",0.454,0.0773,22.6381679999689,0.823529411764706,"CSTlarv Tpre.b ",0.345,0.604
"63",63,"Petrale Sole",0.449,0.0946,22.3309131613868,0.88235294117647,"CSTpjuv Tpre.b ",0.293,0.402
"64",64,"Petrale Sole",0.531,0.0356,23.3894362104238,0.764705882352941,"CSTbjuv.a Tpre.b ",0.295,0.382
"65",65,"Petrale Sole",0.591,0.0519,23.0989987974395,0.764705882352941,"CSTbjuv.b Tpre.b ",0.42,0.422
"66",66,"Petrale Sole",0.456,0.4533,16.6192630567759,0.705882352941177,"DDegg1 LSTegg2 ",0.384,0.482
"67",67,"Petrale Sole",0.49,0.5211,14.5721909248506,0.705882352941177,"DDegg1 LSTlarv ",0.386,0.509
"68",68,"Petrale Sole",0.51,0.4623,16.3388857280836,0.647058823529412,"DDegg1 LSTpjuv ",0.386,0.509
"69",69,"Petrale Sole",0.474,0.3662,17.9352515966796,0.705882352941177,"DDegg1 LSTbjuv.a ",0.386,0.509
"70",70,"Petrale Sole",0.508,0.3906,17.2421282513646,0.705882352941177,"DDegg1 LSTbjuv.b ",0.386,0.509
"71",71,"Petrale Sole",0.477,0.5963,11.5036099014274,0.647058823529412,"CSTegg1 DDegg1 ",0.386,0.509
"72",72,"Petrale Sole",0.455,0.423,16.3755635217752,0.705882352941177,"CSTlarv DDegg1 ",0.386,0.509
"73",73,"Petrale Sole",0.444,0.4058,16.8145201562336,0.764705882352941,"CSTpjuv DDegg1 ",0.297,0.416
"74",74,"Petrale Sole",0.483,0.466,15.1398378221851,0.764705882352941,"CSTbjuv.a DDegg1 ",0.293,0.402
"75",75,"Petrale Sole",0.477,0.6419,10.0754277817565,0.764705882352941,"CSTbjuv.b DDegg1 ",0.295,0.382
"76",76,"Petrale Sole",0.437,0.5039,15.3444623255475,0.823529411764706,"DDegg2 LSTegg2 ",0.42,0.422
"77",77,"Petrale Sole",0.479,0.5498,13.7112154010565,0.705882352941177,"DDegg2 LSTlarv ",0.384,0.482
"78",78,"Petrale Sole",0.488,0.4999,15.3992801586545,0.705882352941177,"DDegg2 LSTpjuv ",0.365,0.51
"79",79,"Petrale Sole",0.456,0.3667,17.9446914047572,0.764705882352941,"DDegg2 LSTbjuv.a ",0.365,0.51
"80",80,"Petrale Sole",0.505,0.3901,17.2768066688345,0.705882352941177,"DDegg2 LSTbjuv.b ",0.365,0.51
"81",81,"Petrale Sole",0.433,0.6322,10.2331851723544,0.647058823529412,"CSTegg1 DDegg2 ",0.365,0.51
"82",82,"Petrale Sole",0.468,0.4466,15.7098995254053,0.705882352941177,"CSTlarv DDegg2 ",0.365,0.51
"83",83,"Petrale Sole",0.449,0.4238,16.3448612953684,0.764705882352941,"CSTpjuv DDegg2 ",0.297,0.416
"84",84,"Petrale Sole",0.44,0.4882,14.4451531073029,0.764705882352941,"CSTbjuv.a DDegg2 ",0.293,0.402
"85",85,"Petrale Sole",0.483,0.631,10.6111268335156,0.764705882352941,"CSTbjuv.b DDegg2 ",0.295,0.382
"86",86,"Petrale Sole",0.464,0.3647,17.894895852189,0.823529411764706,"DDlarv MLDegg ",0.42,0.422
"87",87,"Petrale Sole",0.492,0.3342,19.160822827519,0.823529411764706,"DDlarv LSTegg1 ",0.384,0.482
"88",88,"Petrale Sole",0.506,0.2482,20.8853393756208,0.764705882352941,"DDlarv LSTegg2 ",0.341,0.437
"89",89,"Petrale Sole",0.454,0.5747,13.1371254555698,0.647058823529412,"DDlarv LSTlarv ",0.341,0.437
"90",90,"Petrale Sole",0.535,0.4196,18.1196803916651,0.764705882352941,"DDlarv LSTpjuv ",0.341,0.437
"91",91,"Petrale Sole",0.496,0.1472,21.9349945852712,0.823529411764706,"DDlarv LSTbjuv.a ",0.341,0.437
"92",92,"Petrale Sole",0.543,0.1684,21.0592467549578,0.764705882352941,"DDlarv LSTbjuv.b ",0.341,0.437
"93",93,"Petrale Sole",0.446,0.3352,18.5635854948167,0.764705882352941,"CSTegg1 DDlarv ",0.341,0.437
"94",94,"Petrale Sole",0.344,0.5365,12.7806422185848,0.823529411764706,"CSTegg2 DDlarv ",0.341,0.437
"95",95,"Petrale Sole",0.463,0.1836,21.0877420667148,0.823529411764706,"CSTlarv DDlarv ",0.297,0.416
"96",96,"Petrale Sole",0.449,0.1818,20.8643722336338,0.823529411764706,"CSTpjuv DDlarv ",0.345,0.604
"97",97,"Petrale Sole",0.504,0.2861,19.7146827843951,0.705882352941177,"CSTbjuv.a DDlarv ",0.293,0.402
"98",98,"Petrale Sole",0.542,0.4018,18.0774325786566,0.764705882352941,"CSTbjuv.b DDlarv ",0.295,0.382
"99",99,"Petrale Sole",0.477,0.3515,18.2577253585078,0.823529411764706,"DDpjuv MLDegg ",0.42,0.422
"100",100,"Petrale Sole",0.485,0.4034,18.0066429637286,0.823529411764706,"DDpjuv LSTegg1 ",0.384,0.482
"101",101,"Petrale Sole",0.504,0.3359,19.6520520372766,0.764705882352941,"DDpjuv LSTegg2 ",0.328,0.452
"102",102,"Petrale Sole",0.468,0.534,14.5739697609561,0.705882352941177,"DDpjuv LSTlarv ",0.328,0.452
"103",103,"Petrale Sole",0.519,0.4074,18.3730779413772,0.764705882352941,"DDpjuv LSTpjuv ",0.328,0.452
"104",104,"Petrale Sole",0.498,0.1933,21.5655060179688,0.823529411764706,"DDpjuv LSTbjuv.a ",0.328,0.452
"105",105,"Petrale Sole",0.539,0.2146,20.9054453064351,0.823529411764706,"DDpjuv LSTbjuv.b ",0.328,0.452
"106",106,"Petrale Sole",0.439,0.4028,16.9248115424917,0.764705882352941,"CSTegg1 DDpjuv ",0.328,0.452
"107",107,"Petrale Sole",0.347,0.5423,12.5775548726625,0.823529411764706,"CSTegg2 DDpjuv ",0.328,0.452
"108",108,"Petrale Sole",0.476,0.233,20.7084234881925,0.823529411764706,"CSTlarv DDpjuv ",0.297,0.416
"109",109,"Petrale Sole",0.464,0.2171,20.8481516022154,0.88235294117647,"CSTpjuv DDpjuv ",0.345,0.604
"110",110,"Petrale Sole",0.471,0.3588,18.1144401344872,0.647058823529412,"CSTbjuv.a DDpjuv ",0.293,0.402
"111",111,"Petrale Sole",0.56,0.4208,17.6702318714489,0.764705882352941,"CSTbjuv.b DDpjuv ",0.295,0.382
"112",112,"Petrale Sole",0.485,0.3091,19.3348644516783,0.764705882352941,"DDbjuv.a MLDegg ",0.42,0.422
"113",113,"Petrale Sole",0.436,0.291,19.6479531504924,0.823529411764706,"DDbjuv.a LSTegg1 ",0.384,0.482
"114",114,"Petrale Sole",0.481,0.1002,22.4292234288183,0.823529411764706,"DDbjuv.a LSTegg2 ",0.322,0.403
"115",115,"Petrale Sole",0.57,0.2153,21.3338874191629,0.764705882352941,"DDbjuv.a LSTlarv ",0.322,0.403
"116",116,"Petrale Sole",0.608,0.1013,23.1299954616884,0.823529411764706,"DDbjuv.a LSTpjuv ",0.322,0.403
"117",117,"Petrale Sole",0.465,0.1211,21.8104915885583,0.764705882352941,"DDbjuv.a LSTbjuv.b ",0.322,0.403
"118",118,"Petrale Sole",0.492,0.0839,22.5165830982777,0.823529411764706,"CSTegg1 DDbjuv.a ",0.322,0.403
"119",119,"Petrale Sole",0.332,0.5413,12.6179941106457,0.823529411764706,"CSTegg2 DDbjuv.a ",0.322,0.403
"120",120,"Petrale Sole",0.449,0.0933,22.3401294133084,0.823529411764706,"CSTlarv DDbjuv.a ",0.322,0.403
"121",121,"Petrale Sole",0.442,0.1103,22.0187774147831,0.88235294117647,"CSTpjuv DDbjuv.a ",0.297,0.416
"122",122,"Petrale Sole",0.527,0.0469,23.188738351335,0.764705882352941,"CSTbjuv.a DDbjuv.a ",0.345,0.604
"123",123,"Petrale Sole",0.606,0.0555,23.0342718945526,0.764705882352941,"CSTbjuv.b DDbjuv.a ",0.293,0.402
"124",124,"Petrale Sole",0.485,0.3152,19.1987114946904,0.764705882352941,"DDbjuv.b MLDegg ",0.295,0.382
"125",125,"Petrale Sole",0.453,0.2972,19.5140986538131,0.823529411764706,"DDbjuv.b LSTegg1 ",0.42,0.422
"126",126,"Petrale Sole",0.51,0.0977,22.4529723999369,0.823529411764706,"DDbjuv.b LSTegg2 ",0.384,0.482
"127",127,"Petrale Sole",0.585,0.2105,21.430814504443,0.764705882352941,"DDbjuv.b LSTlarv ",0.327,0.403
"128",128,"Petrale Sole",0.631,0.0907,23.2699236029049,0.764705882352941,"DDbjuv.b LSTpjuv ",0.327,0.403
"129",129,"Petrale Sole",0.53,0.0384,23.3393294869541,0.823529411764706,"DDbjuv.b LSTbjuv.a ",0.327,0.403
"130",130,"Petrale Sole",0.527,0.1174,21.8833063687519,0.823529411764706,"DDbjuv.b LSTbjuv.b ",0.327,0.403
"131",131,"Petrale Sole",0.515,0.0881,22.5581781171848,0.823529411764706,"CSTegg1 DDbjuv.b ",0.327,0.403
"132",132,"Petrale Sole",0.328,0.5501,12.2951769779753,0.823529411764706,"CSTegg2 DDbjuv.b ",0.327,0.403
"133",133,"Petrale Sole",0.482,0.0825,22.5408204394041,0.764705882352941,"CSTlarv DDbjuv.b ",0.327,0.403
