year,DDpre,Tpre,DDegg,Tspawn,DDyolk,DDlarv,DDpjuv,DDbjuv,MLDegg,LSTegg,LSTyolk,LSTlarv,LSTpjuv,LSTbjuv,CSTegg,CSTyolk,CSTlarv,CSTpjuv,CSTbjuv,Y_rec,sd,type
2006,3.127137989,6.928143358,5.902011443,6.287314361,5.463576348,6.611216781,6.659854676,6.550232885,25.9884048,0.016394943,0.010615882,0.004798205,-0.047719381,-0.014595218,0.003921601,-0.000308385,0.003983558,-0.010992423,-0.003467266,-1.266,0.33,Main_RecrDev
2007,2.837402728,6.741691176,5.480291479,6.134637079,5.135760249,6.124076326,6.759112828,6.800247315,18.96018736,-0.006909152,-0.014432795,-0.040876652,-0.058839194,-0.020907853,0.004423596,0.004277591,0.015425538,0.00039108,-0.000909895,-2.036,0.62,Main_RecrDev
2008,2.880878903,6.437656939,4.770678233,6.165203952,4.626960858,5.311326639,6.29360043,6.950982473,17.63473133,-0.004788405,-0.006883164,-0.04282959,-0.052918948,-0.013007739,0.007820162,0.004205695,0.011432135,-0.004907376,5.55E-05,1.873,0.12,Main_RecrDev
2009,2.998140621,6.7345358,4.990470686,6.531085348,4.80228821,5.692859401,6.664238317,7.242357257,16.35114935,-0.009048538,-0.007254846,-0.032383153,-0.054999769,-0.013480662,0.003970622,0.003390934,0.006685769,-0.00283133,0.003829706,-0.701,0.56,Main_RecrDev
2010,2.727846098,7.159210358,6.073529978,6.293357562,5.632952055,7.120285848,6.82409626,6.953145322,23.66755763,0.014171982,-0.001381033,-0.005840357,-0.061813321,-0.020102588,0.009483484,0.008052907,0.019208664,-0.001361716,0.00191585,0.851,0.15,Main_RecrDev
2011,2.646491147,6.564796526,5.29526678,5.984847778,4.932567956,5.944034924,6.749937011,7.164002946,24.0595481,0.004520751,0.002072699,-0.016149275,-0.052802977,-0.016644213,0.004112704,0.002119896,0.014636733,-0.002193592,0.00251288,0.254,0.23,Main_RecrDev
2012,3.010947771,6.298031897,4.997868108,5.999671613,4.924122267,5.809963163,6.763406755,6.879432276,19.52561185,-0.009694904,-0.010317396,-0.024908118,-0.045692558,-0.010646414,0.005052633,0.002614872,0.015126967,-0.000696708,0.000715194,-0.512,0.37,Main_RecrDev
2013,2.741132324,6.522309345,5.113009502,5.896240922,4.894295156,5.767617601,6.934924531,7.499221707,16.78153982,-0.011786924,-0.015480344,-0.05243646,-0.056596133,-0.015404295,0.001446904,0.001278938,0.006968803,-0.002213823,0.004200911,1.704,0.12,Main_RecrDev
2014,3.396518469,6.655949036,5.522360635,6.244590742,5.525530174,6.771026722,7.747851035,8.40853651,14.44222871,0.002709912,-0.000279686,-0.016356937,-0.048042681,-0.008537307,0.00240048,0.001598922,0.010876834,-0.005922658,0.000949034,0.053,0.25,Main_RecrDev
2015,3.301056086,7.24244392,6.943048031,6.272284139,6.137347695,7.529398431,7.667527082,8.374033679,17.3177706,-0.00672173,-0.013266952,-0.049135723,-0.062932858,-0.014668386,0.00269386,-0.002152495,-0.005802516,-0.01138237,0.004660362,1.389,0.14,Main_RecrDev
2016,3.137681837,7.567336934,6.773413033,6.420667578,6.198195066,7.831562887,7.817896409,8.14675253,21.8645693,0.004189347,-0.005982608,-0.021489245,-0.057888099,-0.011275157,0.005828988,0.001625521,0.00732275,0.001216064,0.011796151,2.262,0.12,Main_RecrDev
2017,3.204203158,7.113032732,6.103146646,6.306707382,5.776971647,7.178401592,7.40662863,7.504418757,23.63875579,0.017928526,0.008835068,0.003119995,-0.046172684,-0.015242449,0.001679793,0.001649219,0.013114037,-0.002868445,0.000687831,0.645,0.24,Main_RecrDev
2018,3.097020806,7.046809962,5.918331006,6.304962172,5.480628896,6.697010191,7.186125712,7.459654055,18.79174132,0.000125849,-0.006935761,-0.044299216,-0.05494518,-0.012618105,0.004630935,0.001679618,0.005269058,-0.006759013,-0.002378739,-0.561,0.42,Main_RecrDev
2019,3.101655962,7.27835535,6.403143004,6.324637601,5.940977093,7.120112799,7.860951599,8.134006351,20.96340726,0.005847029,-0.002602573,-0.030927218,-0.059601271,-0.016015198,-0.000806788,-0.004684671,-0.009127096,-0.011499965,-0.001148726,0.681,0.31,Main_RecrDev
2020,3.145566411,6.926566447,5.644421948,6.103432659,5.341203375,6.736995579,7.521875874,7.608652593,17.15785777,-0.002934632,-0.007933213,-0.046507809,-0.058611733,-0.020403511,-0.00047919,-0.002006502,-0.003455637,-0.007464631,-0.002684259,3.078,0.18,Main_RecrDev
2021,3.132145173,6.872217557,5.463787049,5.919990649,4.97323503,5.842888013,7.201811236,7.745653617,16.84053005,-0.008696123,-0.017721234,-0.064324527,-0.063354703,-0.017357133,0.00547188,0.002495778,0.001788963,-0.005571449,0.0021301,2.904,0.27,Main_RecrDev
2022,3.002732444,6.766710563,5.479235663,6.21630399,5.187999984,6.077992441,7.10264417,7.16267323,17.14187834,-0.007112784,-0.013464142,-0.044192924,-0.050637886,-0.012882262,0.00078661,0.000252588,0.002769585,-0.003465328,-0.003753718,-0.687,1.17,Main_RecrDev
2023,3.38139326,6.847551434,5.455403994,6.296227101,4.947195471,5.975371915,7.608794103,8.338019304,23.30634978,0.012409772,0.006218396,-0.008800529,-0.039761237,-0.00642468,0.002410343,0.000326784,0.005674382,-0.006769202,-0.000371299,,,
2024,2.975475173,7.370184823,6.586556653,6.180315938,5.872184718,7.312753338,7.323607177,7.439453401,23.85180964,0.000623975,-0.007287944,-0.03286785,-0.065743859,-0.018581143,0.005209873,0.000285486,9.48E-05,-0.007504895,0.000431137,,,
