"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"1",1,"Yellowtail",0.45,0.001,30.5055317805987,0.2,"DDpre  ",0.415,0.373
"2",2,"Yellowtail",0.43,0.0096,30.2901308775897,0.36,"DDegg  ",0.443,0.396
"3",3,"Yellowtail",0.434,6e-04,30.515882304381,0.2,"DDlarv  ",0.365,0.357
"4",4,"Yellowtail",0.445,0.0042,30.4255045961161,0.24,"DDpjuv  ",0.333,0.356
"5",5,"Yellowtail",0.424,0.0012,30.5015091655832,0.2,"DDben  ",0.343,0.348
"6",6,"Yellowtail",0.429,0.019,30.05070370295,0.4,"Tcop  ",0.383,0.36
"7",7,"Yellowtail",0.442,3e-04,30.5250540591428,0.28,"Tpart  ",0.355,0.373
"8",8,"Yellowtail",0.402,0.111,27.5895655324813,0.64,"MLDpart  ",0.35,0.324
"9",9,"Yellowtail",0.384,0.1513,26.4294665931521,0.6,"MLDlarv  ",0.326,0.329
"10",10,"Yellowtail",0.425,0.0294,29.7847444756528,0.44,"MLDpjuv  ",0.316,0.377
"11",11,"Yellowtail",0.465,0.0154,30.1424063090452,0.32,"CSTlarv  ",0.326,0.345
"12",12,"Yellowtail",0.426,0.0092,30.3006676308223,0.44,"CSTpjuv  ",0.605,0.482
"13",13,"Yellowtail",0.427,0.1345,28.2720103414497,0.6,"LSTlarv  ",0.379,0.348
"14",14,"Yellowtail",0.423,0.0192,30.0472325358645,0.44,"LSTpjuv  ",0.323,0.352
"15",15,"Yellowtail",0.415,0.1914,26.8457432554656,0.64,"oni_pre  ",0.368,0.421
"16",16,"Yellowtail",0.398,0.2718,24.3564858994771,0.52,"oni_larv  ",0.423,0.426
"17",17,"Yellowtail",0.397,0.1432,26.6670290165763,0.48,"oni_pjuv  ",0.292,0.311
"18",18,"Yellowtail",0.433,7e-04,30.5147208341553,0.2,"pdo_larv  ",0.349,0.414
"19",19,"Yellowtail",0.414,0.0496,29.2591527508106,0.52,"pdo_pjuv  ",0.326,0.383
"20",20,"Yellowtail",0.418,0.1932,26.6825109423882,0.64,"CutiSTIpjuv  ",0.384,0.419
"21",21,"Yellowtail",0.435,1e-04,30.5283963089398,0.2,"CutiTUMIpjuv  ",0.334,0.346
"22",22,"Yellowtail",0.496,0.0249,30.271769852421,0.28,"BeutiTUMIpjuv  ",0.327,0.353
"23",23,"Yellowtail",0.442,0.0258,29.8766610832235,0.32,"BeutiSTIpjuv  ",0.335,0.438
"24",24,"Yellowtail",0.47,0.0032,32.4500406515959,0.16,"DDben DDpre ",0.343,0.348
"25",25,"Yellowtail",0.458,0.0324,31.7078108878589,0.4,"DDpre MLDpjuv ",0.415,0.373
"26",26,"Yellowtail",0.496,0.0238,31.9297242509963,0.24,"CSTlarv DDpre ",0.326,0.345
"27",27,"Yellowtail",0.469,0.0094,32.294462217585,0.28,"CSTpjuv DDpre ",0.605,0.482
"28",28,"Yellowtail",0.443,0.1575,29.6813714814769,0.6,"DDpre LSTlarv ",0.415,0.373
"29",29,"Yellowtail",0.456,0.0197,32.0346395269541,0.4,"DDpre LSTpjuv ",0.415,0.373
"30",30,"Yellowtail",0.434,0.1719,28.2007046965368,0.48,"DDpre oni_pjuv ",0.415,0.373
"31",31,"Yellowtail",0.437,0.0723,30.6549781335281,0.4,"DDpre pdo_pjuv ",0.415,0.373
"32",32,"Yellowtail",0.438,0.1928,28.6441817739284,0.52,"CutiSTIpjuv DDpre ",0.384,0.419
"33",33,"Yellowtail",0.476,0.0012,32.501400617332,0.12,"CutiTUMIpjuv DDpre ",0.334,0.346
"34",34,"Yellowtail",0.521,0.0267,32.2424085430291,0.12,"BeutiTUMIpjuv DDpre ",0.327,0.353
"35",35,"Yellowtail",0.462,0.0315,31.7309098636678,0.4,"BeutiSTIpjuv DDpre ",0.335,0.438
"36",36,"Yellowtail",0.462,0.0103,32.2734622506767,0.28,"DDegg DDpjuv ",0.443,0.396
"37",37,"Yellowtail",0.439,0.01,32.2811012822612,0.28,"DDben DDegg ",0.343,0.348
"38",38,"Yellowtail",0.44,0.0789,30.9568177063993,0.4,"DDegg Tcop ",0.443,0.396
"39",39,"Yellowtail",0.444,0.0348,31.6448339062922,0.36,"DDegg MLDpjuv ",0.443,0.396
"40",40,"Yellowtail",0.495,0.0212,31.9959263696469,0.16,"CSTlarv DDegg ",0.326,0.345
"41",41,"Yellowtail",0.442,0.0214,31.9900347003378,0.28,"CSTpjuv DDegg ",0.605,0.482
"42",42,"Yellowtail",0.423,0.1994,28.5085307085771,0.52,"DDegg LSTlarv ",0.443,0.396
"43",43,"Yellowtail",0.443,0.0283,31.8128539048573,0.4,"DDegg LSTpjuv ",0.443,0.396
"44",44,"Yellowtail",0.417,0.2447,27.2180531867949,0.56,"DDegg oni_pre ",0.443,0.396
"45",45,"Yellowtail",0.403,0.3177,24.7644081974908,0.56,"DDegg oni_larv ",0.443,0.396
"46",46,"Yellowtail",0.427,0.2301,27.2604797777717,0.56,"DDegg oni_pjuv ",0.443,0.396
"47",47,"Yellowtail",0.433,0.0521,31.1930228944848,0.48,"DDegg pdo_pjuv ",0.443,0.396
"48",48,"Yellowtail",0.435,0.2353,27.722386411828,0.48,"CutiSTIpjuv DDegg ",0.384,0.419
"49",49,"Yellowtail",0.454,0.0096,32.2900310843413,0.32,"CutiTUMIpjuv DDegg ",0.334,0.346
"50",50,"Yellowtail",0.508,0.0169,32.1052871099761,0.4,"BeutiTUMIpjuv DDegg ",0.327,0.353
"51",51,"Yellowtail",0.459,0.0319,31.7197151803564,0.32,"BeutiSTIpjuv DDegg ",0.335,0.438
"52",52,"Yellowtail",0.452,0.0027,32.4640348001637,0.2,"DDben DDlarv ",0.343,0.348
"53",53,"Yellowtail",0.401,0.1778,27.63740518413,0.64,"DDlarv MLDlarv ",0.365,0.357
"54",54,"Yellowtail",0.448,0.031,31.7453030256932,0.44,"DDlarv MLDpjuv ",0.365,0.357
"55",55,"Yellowtail",0.48,0.0232,31.9449214767483,0.2,"CSTlarv DDlarv ",0.326,0.345
"56",56,"Yellowtail",0.451,0.0093,32.298078481366,0.36,"CSTpjuv DDlarv ",0.605,0.482
"57",57,"Yellowtail",0.441,0.1363,30.1968501435368,0.56,"DDlarv LSTlarv ",0.365,0.357
"58",58,"Yellowtail",0.445,0.0193,32.0443070712374,0.4,"DDlarv LSTpjuv ",0.365,0.357
"59",59,"Yellowtail",0.413,0.1591,28.2005554804097,0.44,"DDlarv oni_pjuv ",0.365,0.357
"60",60,"Yellowtail",0.434,0.1914,28.6647048391944,0.56,"CutiSTIpjuv DDlarv ",0.384,0.419
"61",61,"Yellowtail",0.459,7e-04,32.5135200049568,0.12,"CutiTUMIpjuv DDlarv ",0.334,0.346
"62",62,"Yellowtail",0.506,0.0216,32.2755101963376,0.24,"BeutiTUMIpjuv DDlarv ",0.327,0.353
"63",63,"Yellowtail",0.457,0.032,31.7193552006066,0.36,"BeutiSTIpjuv DDlarv ",0.335,0.438
"64",64,"Yellowtail",0.452,0.1537,28.3595908381497,0.48,"DDpjuv MLDpart ",0.333,0.356
"65",65,"Yellowtail",0.441,0.1778,27.6367481499464,0.56,"DDpjuv MLDlarv ",0.333,0.356
"66",66,"Yellowtail",0.467,0.0347,31.649322217873,0.4,"DDpjuv MLDpjuv ",0.333,0.356
"67",67,"Yellowtail",0.487,0.0156,32.1387638721552,0.28,"CSTlarv DDpjuv ",0.326,0.345
"68",68,"Yellowtail",0.458,0.0148,32.1587343845665,0.32,"CSTpjuv DDpjuv ",0.605,0.482
"69",69,"Yellowtail",0.47,0.1595,29.5875490412319,0.52,"DDpjuv LSTlarv ",0.333,0.356
"70",70,"Yellowtail",0.454,0.0339,31.6696979515746,0.36,"DDpjuv LSTpjuv ",0.333,0.356
"71",71,"Yellowtail",0.431,0.1574,28.2491631782173,0.44,"DDpjuv oni_pjuv ",0.333,0.356
"72",72,"Yellowtail",0.471,0.0048,32.4104163699027,0.32,"CutiTUMIpjuv DDpjuv ",0.334,0.346
"73",73,"Yellowtail",0.479,0.03,31.8608220601594,0.28,"BeutiSTIpjuv DDpjuv ",0.335,0.438
"74",74,"Yellowtail",0.456,0.0563,31.6124545750594,0.32,"DDben Tcop ",0.343,0.348
"75",75,"Yellowtail",0.454,0.0012,32.5007041265223,0.16,"DDben Tpart ",0.343,0.348
"76",76,"Yellowtail",0.433,0.16,29.0679098184839,0.48,"DDben MLDpart ",0.343,0.348
"77",77,"Yellowtail",0.406,0.2129,27.6141285052932,0.56,"DDben MLDlarv ",0.343,0.348
"78",78,"Yellowtail",0.436,0.037,31.5875321693208,0.44,"DDben MLDpjuv ",0.343,0.348
"79",79,"Yellowtail",0.475,0.016,32.128475932235,0.24,"CSTlarv DDben ",0.326,0.345
"80",80,"Yellowtail",0.444,0.0176,32.0872898356935,0.32,"CSTpjuv DDben ",0.605,0.482
"81",81,"Yellowtail",0.444,0.2049,29.2399582002465,0.48,"DDben LSTlarv ",0.343,0.348
"82",82,"Yellowtail",0.439,0.0328,31.6976776025321,0.4,"DDben LSTpjuv ",0.343,0.348
"83",83,"Yellowtail",0.432,0.191,28.8428751193953,0.56,"DDben oni_pre ",0.343,0.348
"84",84,"Yellowtail",0.415,0.2732,26.3001998359094,0.52,"DDben oni_larv ",0.343,0.348
"85",85,"Yellowtail",0.448,0.0032,32.4519858447999,0.2,"DDben pdo_larv ",0.343,0.348
"86",86,"Yellowtail",0.447,0.1954,28.5996413896349,0.6,"CutiSTIpjuv DDben ",0.384,0.419
"87",87,"Yellowtail",0.448,0.0018,32.4871564835114,0.2,"CutiTUMIpjuv DDben ",0.334,0.346
"88",88,"Yellowtail",0.503,0.0282,32.1613511317674,0.32,"BeutiTUMIpjuv DDben ",0.327,0.353
"89",89,"Yellowtail",0.454,0.0259,31.8761853244976,0.28,"BeutiSTIpjuv DDben ",0.335,0.438
"90",90,"Yellowtail",0.439,0.0545,31.130003889369,0.52,"MLDpjuv Tcop ",0.316,0.377
"91",91,"Yellowtail",0.463,0.0675,30.7835111797593,0.44,"CSTlarv Tcop ",0.326,0.345
"92",92,"Yellowtail",0.446,0.0241,31.9209424935314,0.36,"CSTpjuv Tcop ",0.605,0.482
"93",93,"Yellowtail",0.436,0.0343,31.6595113364943,0.4,"LSTpjuv Tcop ",0.323,0.352
"94",94,"Yellowtail",0.43,0.1893,28.8124159813902,0.56,"oni_pre Tcop ",0.368,0.421
"95",95,"Yellowtail",0.41,0.1802,27.5626325598188,0.56,"oni_pjuv Tcop ",0.292,0.311
"96",96,"Yellowtail",0.418,0.0955,30.0224178634757,0.44,"pdo_pjuv Tcop ",0.326,0.383
"97",97,"Yellowtail",0.43,0.2004,28.3312177548742,0.48,"CutiSTIpjuv Tcop ",0.384,0.419
"98",98,"Yellowtail",0.456,0.019,32.0506478235268,0.28,"CutiTUMIpjuv Tcop ",0.334,0.346
"99",99,"Yellowtail",0.507,0.0451,31.8325298446783,0.28,"BeutiTUMIpjuv Tcop ",0.327,0.353
"100",100,"Yellowtail",0.441,0.0537,31.1524693480747,0.4,"BeutiSTIpjuv Tcop ",0.335,0.438
"101",101,"Yellowtail",0.417,0.1922,27.1941395502403,0.64,"MLDlarv Tpart ",0.326,0.329
"102",102,"Yellowtail",0.453,0.0294,31.7846380521265,0.4,"MLDpjuv Tpart ",0.316,0.377
"103",103,"Yellowtail",0.486,0.0172,32.0972845932769,0.2,"CSTlarv Tpart ",0.326,0.345
"104",104,"Yellowtail",0.455,0.0102,32.2759411766695,0.4,"CSTpjuv Tpart ",0.605,0.482
"105",105,"Yellowtail",0.447,0.1394,30.1044890840632,0.64,"LSTlarv Tpart ",0.379,0.348
"106",106,"Yellowtail",0.449,0.0202,32.0223688918458,0.4,"LSTpjuv Tpart ",0.323,0.352
"107",107,"Yellowtail",0.42,0.1515,28.4229353870481,0.48,"oni_pjuv Tpart ",0.292,0.311
"108",108,"Yellowtail",0.434,0.1943,28.6119301020053,0.52,"CutiSTIpjuv Tpart ",0.384,0.419
"109",109,"Yellowtail",0.468,4e-04,32.5224025324471,0.16,"CutiTUMIpjuv Tpart ",0.334,0.346
"110",110,"Yellowtail",0.515,0.0194,32.2107934047544,0.32,"BeutiTUMIpjuv Tpart ",0.327,0.353
"111",111,"Yellowtail",0.46,0.028,31.8202693843901,0.36,"BeutiSTIpjuv Tpart ",0.335,0.438
"112",112,"Yellowtail",0.441,0.1785,27.6159129837628,0.6,"MLDpart MLDpjuv ",0.35,0.324
"113",113,"Yellowtail",0.437,0.1606,28.1551912021667,0.48,"CSTlarv MLDpart ",0.326,0.345
"114",114,"Yellowtail",0.421,0.1245,29.2072715429908,0.6,"CSTpjuv MLDpart ",0.605,0.482
"115",115,"Yellowtail",0.411,0.1354,28.8937106803154,0.48,"LSTpjuv MLDpart ",0.323,0.352
"116",116,"Yellowtail",0.407,0.208,27.4756328262664,0.52,"MLDpart oni_pre ",0.35,0.324
"117",117,"Yellowtail",0.406,0.2924,25.2764008548516,0.56,"MLDpart oni_larv ",0.35,0.324
"118",118,"Yellowtail",0.404,0.2046,26.8071914984753,0.56,"MLDpart oni_pjuv ",0.35,0.324
"119",119,"Yellowtail",0.408,0.1369,28.8516355591355,0.48,"MLDpart pdo_larv ",0.35,0.324
"120",120,"Yellowtail",0.408,0.1637,28.0626151354285,0.6,"MLDpart pdo_pjuv ",0.35,0.324
"121",121,"Yellowtail",0.428,0.2229,27.2331231127529,0.56,"CutiSTIpjuv MLDpart ",0.384,0.419
"122",122,"Yellowtail",0.423,0.1126,29.5454200344725,0.56,"CutiTUMIpjuv MLDpart ",0.334,0.346
"123",123,"Yellowtail",0.539,0.145,29.293773659753,0.6,"BeutiTUMIpjuv MLDpart ",0.327,0.353
"124",124,"Yellowtail",0.429,0.1532,28.3732371323991,0.64,"BeutiSTIpjuv MLDpart ",0.335,0.438
"125",125,"Yellowtail",0.392,0.2203,26.3087222753894,0.56,"MLDlarv MLDpjuv ",0.326,0.329
"126",126,"Yellowtail",0.415,0.1956,27.0904682905358,0.48,"CSTlarv MLDlarv ",0.326,0.345
"127",127,"Yellowtail",0.404,0.1614,28.1294498934597,0.56,"CSTpjuv MLDlarv ",0.605,0.482
"128",128,"Yellowtail",0.395,0.1818,27.5142398483411,0.56,"LSTpjuv MLDlarv ",0.323,0.352
"129",129,"Yellowtail",0.407,0.1954,27.1461595011764,0.48,"MLDlarv oni_pre ",0.326,0.329
"130",130,"Yellowtail",0.418,0.2823,25.457786105115,0.52,"MLDlarv oni_larv ",0.326,0.329
"131",131,"Yellowtail",0.401,0.2169,26.4185472399705,0.6,"MLDlarv oni_pjuv ",0.326,0.329
"132",132,"Yellowtail",0.415,0.1783,27.9063712404769,0.52,"MLDlarv pdo_larv ",0.326,0.329
"133",133,"Yellowtail",0.397,0.1814,27.5262762157951,0.64,"MLDlarv pdo_pjuv ",0.326,0.329
"134",134,"Yellowtail",0.413,0.2393,26.4137386720441,0.52,"CutiSTIpjuv MLDlarv ",0.384,0.419
"135",135,"Yellowtail",0.408,0.1518,28.4153543818381,0.56,"CutiTUMIpjuv MLDlarv ",0.334,0.346
"136",136,"Yellowtail",0.457,0.2231,27.3743503399654,0.6,"BeutiTUMIpjuv MLDlarv ",0.327,0.353
"137",137,"Yellowtail",0.412,0.1936,27.1510000533245,0.56,"BeutiSTIpjuv MLDlarv ",0.335,0.438
"138",138,"Yellowtail",0.493,0.0496,31.5391161307344,0.28,"CSTlarv MLDpjuv ",0.326,0.345
"139",139,"Yellowtail",0.444,0.0321,31.7152410847292,0.4,"CSTpjuv MLDpjuv ",0.605,0.482
"140",140,"Yellowtail",0.42,0.2351,27.3673888434598,0.6,"LSTlarv MLDpjuv ",0.379,0.348
"141",141,"Yellowtail",0.444,0.0397,31.5182562732723,0.4,"LSTpjuv MLDpjuv ",0.323,0.352
"142",142,"Yellowtail",0.446,0.2198,27.946647226221,0.56,"MLDpjuv oni_pre ",0.316,0.377
"143",143,"Yellowtail",0.441,0.3198,25.2020087791483,0.52,"MLDpjuv oni_larv ",0.316,0.377
"144",144,"Yellowtail",0.397,0.2381,25.7328059087685,0.6,"MLDpjuv oni_pjuv ",0.316,0.377
"145",145,"Yellowtail",0.447,0.0303,31.7628292937912,0.44,"MLDpjuv pdo_larv ",0.316,0.377
"146",146,"Yellowtail",0.429,0.0986,29.9368873275935,0.52,"MLDpjuv pdo_pjuv ",0.316,0.377
"147",147,"Yellowtail",0.432,0.1926,28.642574922131,0.52,"CutiSTIpjuv MLDpjuv ",0.384,0.419
