"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"1",1,"Petrale Sole",0.455,6e-04,32.4117136657964,0.68,"DDpre  ",0.584,0.463
"2",2,"Petrale Sole",0.437,8e-04,32.4064830726464,0.72,"Tpre.a  ",0.55,0.46
"3",3,"Petrale Sole",0.452,0.0839,30.3847562543331,0.64,"Tpre.b  ",0.447,0.395
"4",4,"Petrale Sole",0.461,0.0684,30.6570885309716,0.64,"DDegg1  ",0.504,0.52
"5",5,"Petrale Sole",0.463,0.0579,30.9366304536887,0.68,"DDegg2  ",0.505,0.517
"6",6,"Petrale Sole",0.45,0.1475,29.4218519392137,0.68,"DDlarv  ",0.513,0.428
"7",7,"Petrale Sole",0.459,0.1423,29.6854422512764,0.68,"DDpjuv  ",0.548,0.443
"8",8,"Petrale Sole",0.454,0.1115,30.3258177150403,0.68,"DDbjuv.a  ",0.456,0.4
"9",9,"Petrale Sole",0.458,0.1001,30.1834973936336,0.64,"DDbjuv.b  ",0.446,0.396
"10",10,"Petrale Sole",0.469,0.1296,30.281540437836,0.72,"MLDegg  ",0.503,0.474
"11",11,"Petrale Sole",0.451,0.0303,31.6569989763647,0.72,"LSTegg1  ",0.491,0.538
"12",12,"Petrale Sole",0.442,0.0594,30.897351020175,0.72,"LSTegg2  ",0.465,0.442
"13",13,"Petrale Sole",0.445,0.2269,27.6860483935839,0.68,"LSTlarv  ",0.439,0.426
"14",14,"Petrale Sole",0.472,0.1404,30.1319633508902,0.72,"LSTpjuv  ",0.464,0.432
"15",15,"Petrale Sole",0.436,0.0023,32.370189013957,0.72,"LSTbjuv.a  ",0.519,0.437
"16",16,"Petrale Sole",0.437,0.0108,32.1550772928162,0.72,"LSTbjuv.b  ",0.553,0.464
"17",17,"Petrale Sole",0.426,0.063,30.8014940386041,0.68,"CSTegg1  ",0.567,0.426
"18",18,"Petrale Sole",0.54,0.0725,31.6393833822185,0.68,"CSTegg2  ",0.507,0.638
"19",19,"Petrale Sole",0.42,0.0706,30.5971348306345,0.68,"CSTlarv  ",0.467,0.424
"20",20,"Petrale Sole",0.41,0.1434,28.5569881089478,0.72,"CSTpjuv  ",0.419,0.399
"21",21,"Petrale Sole",0.424,0.1635,27.9632270940909,0.76,"CSTbjuv.a  ",0.374,0.349
"22",22,"Petrale Sole",0.444,0.0499,31.1486905667411,0.72,"CSTbjuv.b  ",0.559,0.443
"23",23,"Petrale Sole",0.494,0.001,34.4025943178623,0.68,"DDpre Tpre.a ",0.584,0.463
"24",24,"Petrale Sole",0.482,0.1857,30.7763952396038,0.64,"DDlarv DDpre ",0.513,0.428
"25",25,"Petrale Sole",0.482,0.1837,30.8672065917674,0.68,"DDpre MLDegg ",0.584,0.463
"26",26,"Petrale Sole",0.478,0.0321,33.6116307730313,0.72,"DDpre LSTegg1 ",0.584,0.463
"27",27,"Petrale Sole",0.462,0.0665,32.7078631961757,0.72,"DDpre LSTegg2 ",0.584,0.463
"28",28,"Petrale Sole",0.474,0.2434,29.1590524612705,0.68,"DDpre LSTlarv ",0.584,0.463
"29",29,"Petrale Sole",0.506,0.152,31.8092922277289,0.68,"DDpre LSTpjuv ",0.584,0.463
"30",30,"Petrale Sole",0.472,0.0052,34.2969767866768,0.68,"DDpre LSTbjuv.a ",0.584,0.463
"31",31,"Petrale Sole",0.475,0.0178,33.9788755713575,0.68,"DDpre LSTbjuv.b ",0.584,0.463
"32",32,"Petrale Sole",0.482,0.0652,32.741926258435,0.64,"CSTegg1 DDpre ",0.567,0.426
"33",33,"Petrale Sole",0.567,0.0705,33.641551277599,0.64,"CSTegg2 DDpre ",0.507,0.638
"34",34,"Petrale Sole",0.466,0.0708,32.592008269849,0.64,"CSTlarv DDpre ",0.467,0.424
"35",35,"Petrale Sole",0.452,0.1442,30.5336789269157,0.68,"CSTpjuv DDpre ",0.419,0.399
"36",36,"Petrale Sole",0.454,0.1738,29.654647516997,0.72,"CSTbjuv.a DDpre ",0.374,0.349
"37",37,"Petrale Sole",0.474,0.0622,32.9298923861007,0.68,"CSTbjuv.b DDpre ",0.559,0.443
"38",38,"Petrale Sole",0.473,0.0812,32.3528018500932,0.64,"Tpre.a Tpre.b ",0.55,0.46
"39",39,"Petrale Sole",0.479,0.0688,32.6461173935024,0.64,"DDegg1 Tpre.a ",0.504,0.52
"40",40,"Petrale Sole",0.479,0.058,32.9326527493718,0.64,"DDegg2 Tpre.a ",0.505,0.517
"41",41,"Petrale Sole",0.469,0.1588,31.1597232591137,0.64,"DDlarv Tpre.a ",0.513,0.428
"42",42,"Petrale Sole",0.475,0.1526,31.4272265824945,0.64,"DDpjuv Tpre.a ",0.548,0.443
"43",43,"Petrale Sole",0.475,0.1193,32.175280429258,0.68,"DDbjuv.a Tpre.a ",0.456,0.4
"44",44,"Petrale Sole",0.483,0.1054,32.1168047472002,0.64,"DDbjuv.b Tpre.a ",0.446,0.396
"45",45,"Petrale Sole",0.483,0.1283,32.2848170290544,0.72,"MLDegg Tpre.a ",0.503,0.474
"46",46,"Petrale Sole",0.461,0.0309,33.6418604477369,0.72,"LSTegg1 Tpre.a ",0.491,0.538
"47",47,"Petrale Sole",0.454,0.0632,32.7948290749458,0.72,"LSTegg2 Tpre.a ",0.465,0.442
"48",48,"Petrale Sole",0.478,0.1402,32.1094820872922,0.72,"LSTpjuv Tpre.a ",0.464,0.432
"49",49,"Petrale Sole",0.438,0.0639,32.7754945984707,0.64,"CSTegg1 Tpre.a ",0.567,0.426
"50",50,"Petrale Sole",0.551,0.0714,33.6261061346088,0.68,"CSTegg2 Tpre.a ",0.507,0.638
"51",51,"Petrale Sole",0.43,0.0718,32.5647930771907,0.68,"CSTlarv Tpre.a ",0.467,0.424
"52",52,"Petrale Sole",0.418,0.1499,30.3665781165212,0.72,"CSTpjuv Tpre.a ",0.419,0.399
"53",53,"Petrale Sole",0.433,0.1691,29.7953114450173,0.72,"CSTbjuv.a Tpre.a ",0.374,0.349
"54",54,"Petrale Sole",0.45,0.0622,32.8219526639984,0.68,"CSTbjuv.b Tpre.a ",0.559,0.443
"55",55,"Petrale Sole",0.485,0.2637,28.3574859551306,0.56,"MLDegg Tpre.b ",0.503,0.474
"56",56,"Petrale Sole",0.47,0.0873,32.1431283132264,0.64,"LSTegg1 Tpre.b ",0.491,0.538
"57",57,"Petrale Sole",0.466,0.1227,31.518064516013,0.64,"LSTegg2 Tpre.b ",0.465,0.442
"58",58,"Petrale Sole",0.464,0.3273,26.2599568649211,0.68,"LSTlarv Tpre.b ",0.439,0.426
"59",59,"Petrale Sole",0.49,0.2637,28.4142051627995,0.6,"LSTpjuv Tpre.b ",0.464,0.432
"60",60,"Petrale Sole",0.443,0.1356,30.7838467981273,0.6,"LSTbjuv.b Tpre.b ",0.553,0.464
"61",61,"Petrale Sole",0.445,0.1449,30.5153836316342,0.56,"CSTegg1 Tpre.b ",0.567,0.426
"62",62,"Petrale Sole",0.555,0.1156,32.0033468611167,0.6,"CSTegg2 Tpre.b ",0.507,0.638
"63",63,"Petrale Sole",0.447,0.128,31.0030903804683,0.64,"CSTlarv Tpre.b ",0.467,0.424
"64",64,"Petrale Sole",0.44,0.1894,29.1788227223006,0.68,"CSTpjuv Tpre.b ",0.419,0.399
"65",65,"Petrale Sole",0.445,0.2334,28.2639854464625,0.72,"CSTbjuv.a Tpre.b ",0.374,0.349
"66",66,"Petrale Sole",0.467,0.1332,30.8535556913115,0.64,"CSTbjuv.b Tpre.b ",0.559,0.443
"67",67,"Petrale Sole",0.472,0.092,32.0150675863271,0.68,"DDegg1 LSTegg2 ",0.504,0.52
"68",68,"Petrale Sole",0.454,0.3643,24.8820916790893,0.56,"DDegg1 LSTlarv ",0.504,0.52
"69",69,"Petrale Sole",0.478,0.2825,27.8345076170364,0.52,"DDegg1 LSTpjuv ",0.504,0.52
"70",70,"Petrale Sole",0.464,0.0865,32.1658127639253,0.68,"DDegg1 LSTbjuv.a ",0.504,0.52
"71",71,"Petrale Sole",0.461,0.096,31.9034131733132,0.64,"DDegg1 LSTbjuv.b ",0.504,0.52
"72",72,"Petrale Sole",0.475,0.2738,27.732957197626,0.56,"CSTegg1 DDegg1 ",0.567,0.426
"73",73,"Petrale Sole",0.482,0.1283,31.5168139019747,0.64,"CSTlarv DDegg1 ",0.467,0.424
"74",74,"Petrale Sole",0.473,0.2109,29.3436270933994,0.72,"CSTpjuv DDegg1 ",0.419,0.399
"75",75,"Petrale Sole",0.477,0.2579,28.2255796317441,0.72,"CSTbjuv.a DDegg1 ",0.374,0.349
"76",76,"Petrale Sole",0.465,0.1907,29.7579471670714,0.64,"CSTbjuv.b DDegg1 ",0.559,0.443
"77",77,"Petrale Sole",0.472,0.0845,32.2210109427278,0.68,"DDegg2 LSTegg2 ",0.505,0.517
"78",78,"Petrale Sole",0.463,0.357,25.166079542863,0.6,"DDegg2 LSTlarv ",0.505,0.517
"79",79,"Petrale Sole",0.491,0.2716,28.2455748060341,0.56,"DDegg2 LSTpjuv ",0.505,0.517
"80",80,"Petrale Sole",0.467,0.0723,32.5513007834358,0.68,"DDegg2 LSTbjuv.a ",0.505,0.517
"81",81,"Petrale Sole",0.464,0.082,32.2876380416261,0.68,"DDegg2 LSTbjuv.b ",0.505,0.517
"82",82,"Petrale Sole",0.484,0.2511,28.4473586203477,0.56,"CSTegg1 DDegg2 ",0.567,0.426
"83",83,"Petrale Sole",0.483,0.1034,31.849135090308,0.64,"CSTlarv DDegg2 ",0.467,0.424
"84",84,"Petrale Sole",0.476,0.1911,29.7481027324206,0.72,"CSTpjuv DDegg2 ",0.419,0.399
"85",85,"Petrale Sole",0.491,0.2401,28.7198085471973,0.72,"CSTbjuv.a DDegg2 ",0.374,0.349
"86",86,"Petrale Sole",0.476,0.1603,30.4341479688688,0.68,"CSTbjuv.b DDegg2 ",0.559,0.443
"87",87,"Petrale Sole",0.476,0.2845,27.7757020277926,0.6,"DDlarv MLDegg ",0.513,0.428
"88",88,"Petrale Sole",0.475,0.1443,31.3997460216409,0.68,"DDlarv LSTegg1 ",0.513,0.428
"89",89,"Petrale Sole",0.469,0.1568,30.8619583763421,0.6,"DDlarv LSTegg2 ",0.513,0.428
"90",90,"Petrale Sole",0.429,0.5124,20.0701688810492,0.6,"DDlarv LSTlarv ",0.513,0.428
"91",91,"Petrale Sole",0.467,0.4154,24.3997412129339,0.6,"DDlarv LSTpjuv ",0.513,0.428
"92",92,"Petrale Sole",0.458,0.1463,31.193270280568,0.68,"DDlarv LSTbjuv.a ",0.513,0.428
"93",93,"Petrale Sole",0.463,0.1454,31.0886067727474,0.6,"DDlarv LSTbjuv.b ",0.513,0.428
"94",94,"Petrale Sole",0.443,0.2558,28.2870797656172,0.64,"CSTegg1 DDlarv ",0.567,0.426
"95",95,"Petrale Sole",0.547,0.1899,30.5051332592721,0.72,"CSTegg2 DDlarv ",0.507,0.638
"96",96,"Petrale Sole",0.447,0.2106,29.7610071049312,0.64,"CSTlarv DDlarv ",0.467,0.424
"97",97,"Petrale Sole",0.439,0.2793,27.5752130700238,0.68,"CSTpjuv DDlarv ",0.419,0.399
"98",98,"Petrale Sole",0.395,0.4205,22.5178595145959,0.68,"CSTbjuv.a DDlarv ",0.374,0.349
"99",99,"Petrale Sole",0.451,0.254,28.3614840741427,0.64,"CSTbjuv.b DDlarv ",0.559,0.443
"100",100,"Petrale Sole",0.477,0.2682,27.9921945937796,0.6,"DDpjuv MLDegg ",0.548,0.443
"101",101,"Petrale Sole",0.481,0.1392,31.6622003591756,0.68,"DDpjuv LSTegg1 ",0.548,0.443
"102",102,"Petrale Sole",0.473,0.154,31.0844964054288,0.6,"DDpjuv LSTegg2 ",0.548,0.443
"103",103,"Petrale Sole",0.441,0.4836,21.4024156032581,0.52,"DDpjuv LSTlarv ",0.548,0.443
"104",104,"Petrale Sole",0.476,0.3901,25.3683362480727,0.6,"DDpjuv LSTpjuv ",0.548,0.443
"105",105,"Petrale Sole",0.465,0.1421,31.5462395899965,0.68,"DDpjuv LSTbjuv.a ",0.548,0.443
"106",106,"Petrale Sole",0.468,0.1422,31.4575011089453,0.68,"DDpjuv LSTbjuv.b ",0.548,0.443
"107",107,"Petrale Sole",0.452,0.2645,28.1298351305951,0.68,"CSTegg1 DDpjuv ",0.567,0.426
"108",108,"Petrale Sole",0.557,0.1819,30.7708471291811,0.68,"CSTegg2 DDpjuv ",0.507,0.638
"109",109,"Petrale Sole",0.454,0.2106,29.8443641391764,0.64,"CSTlarv DDpjuv ",0.467,0.424
"110",110,"Petrale Sole",0.445,0.2716,27.862387930735,0.72,"CSTpjuv DDpjuv ",0.419,0.399
"111",111,"Petrale Sole",0.396,0.4451,21.4858142949892,0.72,"CSTbjuv.a DDpjuv ",0.374,0.349
"112",112,"Petrale Sole",0.463,0.2465,28.6961396609843,0.6,"CSTbjuv.b DDpjuv ",0.559,0.443
"113",113,"Petrale Sole",0.484,0.2651,28.6375758256226,0.6,"DDbjuv.a MLDegg ",0.456,0.4
"114",114,"Petrale Sole",0.475,0.1156,32.1194107478658,0.68,"DDbjuv.a LSTegg1 ",0.456,0.4
"115",115,"Petrale Sole",0.461,0.1551,31.1853950286606,0.64,"DDbjuv.a LSTegg2 ",0.456,0.4
"116",116,"Petrale Sole",0.5,0.3463,25.9281361871544,0.52,"DDbjuv.a LSTlarv ",0.456,0.4
"117",117,"Petrale Sole",0.532,0.2675,28.3121358377717,0.6,"DDbjuv.a LSTpjuv ",0.456,0.4
"118",118,"Petrale Sole",0.463,0.1114,31.765954935143,0.6,"DDbjuv.a LSTbjuv.a ",0.456,0.4
"119",119,"Petrale Sole",0.462,0.1094,31.623164349896,0.6,"DDbjuv.a LSTbjuv.b ",0.456,0.4
"120",120,"Petrale Sole",0.446,0.1875,30.1976375585269,0.68,"CSTegg1 DDbjuv.a ",0.567,0.426
"121",121,"Petrale Sole",0.56,0.1564,31.7565340681494,0.64,"CSTegg2 DDbjuv.a ",0.507,0.638
"122",122,"Petrale Sole",0.454,0.156,30.8017923355931,0.64,"CSTlarv DDbjuv.a ",0.467,0.424
"123",123,"Petrale Sole",0.447,0.2002,28.9931781018789,0.68,"CSTpjuv DDbjuv.a ",0.419,0.399
"124",124,"Petrale Sole",0.461,0.2807,27.3026453701672,0.76,"CSTbjuv.a DDbjuv.a ",0.374,0.349
"125",125,"Petrale Sole",0.476,0.1709,30.6625534179125,0.64,"CSTbjuv.b DDbjuv.a ",0.559,0.443
"126",126,"Petrale Sole",0.472,0.275,27.8519537030498,0.56,"DDbjuv.b MLDegg ",0.446,0.396
"127",127,"Petrale Sole",0.476,0.099,32.0472049623903,0.64,"DDbjuv.b LSTegg1 ",0.446,0.396
"128",128,"Petrale Sole",0.472,0.1348,31.3358020240681,0.6,"DDbjuv.b LSTegg2 ",0.446,0.396
"129",129,"Petrale Sole",0.476,0.3532,25.5693657933168,0.64,"DDbjuv.b LSTlarv ",0.446,0.396
"130",130,"Petrale Sole",0.509,0.2749,28.0444733642839,0.56,"DDbjuv.b LSTpjuv ",0.446,0.396
"131",131,"Petrale Sole",0.456,0.1196,31.242181886748,0.68,"DDbjuv.b LSTbjuv.a ",0.446,0.396
"132",132,"Petrale Sole",0.454,0.129,30.9731758042531,0.64,"DDbjuv.b LSTbjuv.b ",0.446,0.396
"133",133,"Petrale Sole",0.452,0.1849,29.9120559843101,0.6,"CSTegg1 DDbjuv.b ",0.567,0.426
"134",134,"Petrale Sole",0.561,0.131,31.7477586494711,0.6,"CSTegg2 DDbjuv.b ",0.507,0.638
"135",135,"Petrale Sole",0.457,0.1546,30.767497042088,0.64,"CSTlarv DDbjuv.b ",0.467,0.424
"136",136,"Petrale Sole",0.453,0.2074,29.021039290138,0.68,"CSTpjuv DDbjuv.b ",0.419,0.399
"137",137,"Petrale Sole",0.449,0.3029,26.741809842259,0.72,"CSTbjuv.a DDbjuv.b ",0.374,0.349
"138",138,"Petrale Sole",0.476,0.162,30.4367115040492,0.64,"CSTbjuv.b DDbjuv.b ",0.559,0.443
"139",139,"Petrale Sole",0.478,0.1542,31.0354588434503,0.64,"LSTegg1 MLDegg ",0.491,0.538
"140",140,"Petrale Sole",0.473,0.1593,31.0678239763162,0.64,"LSTegg2 MLDegg ",0.465,0.442
"141",141,"Petrale Sole",0.52,0.2968,28.2015074643012,0.56,"LSTlarv MLDegg ",0.439,0.426
"142",142,"Petrale Sole",0.531,0.2268,30.541078483714,0.52,"LSTpjuv MLDegg ",0.464,0.432
"143",143,"Petrale Sole",0.48,0.1278,32.2749305385351,0.72,"LSTbjuv.a MLDegg ",0.519,0.437
"144",144,"Petrale Sole",0.48,0.1302,32.1603881605812,0.72,"LSTbjuv.b MLDegg ",0.553,0.464
"145",145,"Petrale Sole",0.493,0.3154,26.6966622957355,0.68,"CSTegg1 MLDegg ",0.567,0.426
"146",146,"Petrale Sole",0.465,0.201,30.1855959909502,0.72,"CSTlarv MLDegg ",0.467,0.424
"147",147,"Petrale Sole",0.454,0.2304,29.0703173834058,0.72,"CSTpjuv MLDegg ",0.419,0.399
"148",148,"Petrale Sole",0.423,0.3718,24.3608174502866,0.64,"CSTbjuv.a MLDegg ",0.374,0.349
"149",149,"Petrale Sole",0.483,0.1721,31.0271091826104,0.72,"CSTbjuv.b MLDegg ",0.559,0.443
"150",150,"Petrale Sole",0.446,0.2974,27.3528855489459,0.64,"LSTegg1 LSTlarv ",0.491,0.538
"151",151,"Petrale Sole",0.484,0.2041,30.3068894288405,0.56,"LSTegg1 LSTpjuv ",0.491,0.538
"152",152,"Petrale Sole",0.459,0.0358,33.5158297634473,0.72,"LSTbjuv.a LSTegg1 ",0.519,0.437
"153",153,"Petrale Sole",0.463,0.0408,33.3864196288397,0.72,"LSTbjuv.b LSTegg1 ",0.553,0.464
"154",154,"Petrale Sole",0.434,0.1806,29.4483188051759,0.56,"CSTegg1 LSTegg1 ",0.567,0.426
"155",155,"Petrale Sole",0.442,0.1168,31.3227279133425,0.72,"CSTlarv LSTegg1 ",0.467,0.424
"156",156,"Petrale Sole",0.425,0.2029,28.7585785500735,0.76,"CSTpjuv LSTegg1 ",0.419,0.399
"157",157,"Petrale Sole",0.446,0.1708,29.7448761039169,0.76,"CSTbjuv.a LSTegg1 ",0.374,0.349
"158",158,"Petrale Sole",0.455,0.1187,31.2692505388038,0.68,"CSTbjuv.b LSTegg1 ",0.559,0.443
"159",159,"Petrale Sole",0.443,0.2865,27.6970498857583,0.6,"LSTegg2 LSTlarv ",0.465,0.442
"160",160,"Petrale Sole",0.471,0.2133,29.9721953682242,0.56,"LSTegg2 LSTpjuv ",0.465,0.442
"161",161,"Petrale Sole",0.455,0.0785,32.382808993002,0.72,"LSTbjuv.a LSTegg2 ",0.519,0.437
"162",162,"Petrale Sole",0.454,0.087,32.1513106579962,0.68,"LSTbjuv.b LSTegg2 ",0.553,0.464
"163",163,"Petrale Sole",0.423,0.1992,28.8736162401273,0.68,"CSTegg1 LSTegg2 ",0.567,0.426
"164",164,"Petrale Sole",0.456,0.1355,30.7865695763422,0.68,"CSTlarv LSTegg2 ",0.467,0.424
"165",165,"Petrale Sole",0.436,0.217,28.3103775988105,0.68,"CSTpjuv LSTegg2 ",0.419,0.399
"166",166,"Petrale Sole",0.463,0.1798,29.4732245920656,0.72,"CSTbjuv.a LSTegg2 ",0.374,0.349
"167",167,"Petrale Sole",0.44,0.1696,29.7818985555797,0.6,"CSTbjuv.b LSTegg2 ",0.559,0.443
"168",168,"Petrale Sole",0.458,0.2268,29.6657044437669,0.64,"LSTbjuv.a LSTlarv ",0.519,0.437
"169",169,"Petrale Sole",0.454,0.2339,29.4278687657126,0.68,"LSTbjuv.b LSTlarv ",0.553,0.464
"170",170,"Petrale Sole",0.445,0.2533,28.751313649928,0.72,"CSTegg1 LSTlarv ",0.567,0.426
"171",171,"Petrale Sole",0.548,0.2605,28.8622147039087,0.6,"CSTegg2 LSTlarv ",0.507,0.638
"172",172,"Petrale Sole",0.462,0.2649,28.3786152791742,0.6,"CSTlarv LSTlarv ",0.467,0.424
"173",173,"Petrale Sole",0.467,0.2907,27.4018098766332,0.64,"CSTpjuv LSTlarv ",0.419,0.399
"174",174,"Petrale Sole",0.459,0.3527,25.6965140050954,0.68,"CSTbjuv.a LSTlarv ",0.374,0.349
"175",175,"Petrale Sole",0.447,0.2467,28.9682300414808,0.68,"CSTbjuv.b LSTlarv ",0.559,0.443
"176",176,"Petrale Sole",0.483,0.1392,32.1323336347749,0.68,"LSTbjuv.a LSTpjuv ",0.519,0.437
"177",177,"Petrale Sole",0.483,0.1437,31.9870806325148,0.72,"LSTbjuv.b LSTpjuv ",0.553,0.464
"178",178,"Petrale Sole",0.469,0.1823,30.8080837769005,0.68,"CSTegg1 LSTpjuv ",0.567,0.426
"179",179,"Petrale Sole",0.592,0.1772,31.5345510161213,0.56,"CSTegg2 LSTpjuv ",0.507,0.638
"180",180,"Petrale Sole",0.479,0.1848,30.7111316326358,0.64,"CSTlarv LSTpjuv ",0.467,0.424
"181",181,"Petrale Sole",0.474,0.2152,29.5262998252881,0.72,"CSTpjuv LSTpjuv ",0.419,0.399
"182",182,"Petrale Sole",0.474,0.2542,28.3932691056074,0.72,"CSTbjuv.a LSTpjuv ",0.374,0.349
"183",183,"Petrale Sole",0.479,0.1689,31.2061327690907,0.72,"CSTbjuv.b LSTpjuv ",0.559,0.443
"184",184,"Petrale Sole",0.439,0.0646,32.7568080614994,0.68,"CSTegg1 LSTbjuv.a ",0.567,0.426
"185",185,"Petrale Sole",0.554,0.0762,33.5253648619527,0.68,"CSTegg2 LSTbjuv.a ",0.507,0.638
"186",186,"Petrale Sole",0.427,0.0769,32.4265842604044,0.68,"CSTlarv LSTbjuv.a ",0.467,0.424
"187",187,"Petrale Sole",0.419,0.15,30.363208343187,0.72,"CSTpjuv LSTbjuv.a ",0.419,0.399
"188",188,"Petrale Sole",0.441,0.1802,29.7021722626118,0.72,"CSTbjuv.a LSTbjuv.a ",0.374,0.349
"189",189,"Petrale Sole",0.473,0.0679,33.0161034464616,0.68,"CSTbjuv.b LSTbjuv.a ",0.559,0.443
"190",190,"Petrale Sole",0.449,0.1118,32.1747001754217,0.64,"CSTegg1 LSTbjuv.b ",0.567,0.426
